geneID,gene_name,gene_type
ENSMMUG00000052184,INKA2,protein_coding
ENSMMUG00000064736,Metazoa_SRP,misc_RNA
ENSMMUG00000055844,ENSMMUG00000055844,protein_coding
ENSMMUG00000014486,RAP1A,protein_coding
ENSMMUG00000011236,MDM4,protein_coding
ENSMMUG00000001616,PADI2,protein_coding
ENSMMUG00000001614,SDHB,protein_coding
ENSMMUG00000065134,FASLG,protein_coding
ENSMMUG00000060248,ENSMMUG00000060248,lncRNA
ENSMMUG00000059499,TNFSF18,protein_coding
ENSMMUG00000031372,SNRPE,protein_coding
ENSMMUG00000063658,LRRN2,protein_coding
ENSMMUG00000055783,ENSMMUG00000055783,lncRNA
ENSMMUG00000058865,ENSMMUG00000058865,protein_coding
ENSMMUG00000031378,ENSMMUG00000031378,protein_coding
ENSMMUG00000036962,ENSMMUG00000036962,scaRNA
ENSMMUG00000057372,ENSMMUG00000057372,protein_coding
ENSMMUG00000059912,ENSMMUG00000059912,lncRNA
ENSMMUG00000008460,SOX13,protein_coding
ENSMMUG00000061368,TNFSF4,protein_coding
ENSMMUG00000001610,ATP13A2,protein_coding
ENSMMUG00000008462,ETNK2,protein_coding
ENSMMUG00000008464,REN,protein_coding
ENSMMUG00000003647,KISS1,protein_coding
ENSMMUG00000064841,GOLT1A,protein_coding
ENSMMUG00000017508,NFASC,protein_coding
ENSMMUG00000025711,ENSMMUG00000025711,snoRNA
ENSMMUG00000053451,MFAP2,protein_coding
ENSMMUG00000060674,ENSMMUG00000060674,protein_coding
ENSMMUG00000018263,ENSMMUG00000018263,protein_coding
ENSMMUG00000023345,ADGRL4,protein_coding
ENSMMUG00000053047,mml-mir-7179,miRNA
ENSMMUG00000007315,CROCC,protein_coding
ENSMMUG00000002350,IFI44,protein_coding
ENSMMUG00000001569,IFI44L,protein_coding
ENSMMUG00000010594,PTGFR,protein_coding
ENSMMUG00000054277,ENSMMUG00000054277,lncRNA
ENSMMUG00000052809,U1,snRNA
ENSMMUG00000049326,GIPC2,protein_coding
ENSMMUG00000059366,U1,snRNA
ENSMMUG00000049803,U1,snRNA
ENSMMUG00000065044,ENSMMUG00000065044,lncRNA
ENSMMUG00000061855,U1,snRNA
ENSMMUG00000058410,U1,snRNA
ENSMMUG00000052878,U1,snRNA
ENSMMUG00000062464,U1,snRNA
ENSMMUG00000051624,ENSMMUG00000051624,lncRNA
ENSMMUG00000022525,PERM1,protein_coding
ENSMMUG00000053920,U1,snRNA
ENSMMUG00000055356,ENSMMUG00000055356,lncRNA
ENSMMUG00000052304,U1,snRNA
ENSMMUG00000057801,ENSMMUG00000057801,protein_coding
ENSMMUG00000050425,DNAJB4,protein_coding
ENSMMUG00000052555,ENSMMUG00000052555,protein_coding
ENSMMUG00000055415,ENSMMUG00000055415,protein_coding
ENSMMUG00000063117,ENSMMUG00000063117,protein_coding
ENSMMUG00000050778,ENSMMUG00000050778,lncRNA
ENSMMUG00000047409,ENSMMUG00000047409,lncRNA
ENSMMUG00000002899,FUBP1,protein_coding
ENSMMUG00000019940,NECAP2,protein_coding
ENSMMUG00000010352,NEXN,protein_coding
ENSMMUG00000062662,ENSMMUG00000062662,protein_coding
ENSMMUG00000011987,MIGA1,protein_coding
ENSMMUG00000015898,SPATA21,protein_coding
ENSMMUG00000055372,ENSMMUG00000055372,protein_coding
ENSMMUG00000045364,SZRD1,protein_coding
ENSMMUG00000060669,ENSMMUG00000060669,protein_coding
ENSMMUG00000018221,WASF2,protein_coding
ENSMMUG00000012733,FBXO42,protein_coding
ENSMMUG00000018325,GPR3,protein_coding
ENSMMUG00000018326,USP33,protein_coding
ENSMMUG00000018322,FCN3,protein_coding
ENSMMUG00000015804,PLEKHN1,protein_coding
ENSMMUG00000060620,C1orf53,protein_coding
ENSMMUG00000012259,LHX9,protein_coding
ENSMMUG00000057910,ENSMMUG00000057910,lncRNA
ENSMMUG00000015802,KLHL17,protein_coding
ENSMMUG00000021649,NEK7,protein_coding
ENSMMUG00000015800,NOC2L,protein_coding
ENSMMUG00000018318,MAP3K6,protein_coding
ENSMMUG00000011992,ATP6V1G3,protein_coding
ENSMMUG00000063855,ZZZ3,protein_coding
ENSMMUG00000065250,CPLANE2,protein_coding
ENSMMUG00000005947,SAMD11,protein_coding
ENSMMUG00000044790,Metazoa_SRP,misc_RNA
ENSMMUG00000050502,Metazoa_SRP,misc_RNA
ENSMMUG00000060644,ENSMMUG00000060644,lncRNA
ENSMMUG00000000009,PTPRC,protein_coding
ENSMMUG00000014410,ARHGEF19,protein_coding
ENSMMUG00000064420,Metazoa_SRP,misc_RNA
ENSMMUG00000020218,AK5,protein_coding
ENSMMUG00000039874,ENSMMUG00000039874,protein_coding
ENSMMUG00000018245,EPHA2,protein_coding
ENSMMUG00000004768,SYTL1,protein_coding
ENSMMUG00000026884,mml-mir-181b-1,miRNA
ENSMMUG00000026915,mml-mir-181a-1,miRNA
ENSMMUG00000055114,ENSMMUG00000055114,lncRNA
ENSMMUG00000053069,ENSMMUG00000053069,protein_coding
ENSMMUG00000053987,Metazoa_SRP,misc_RNA
ENSMMUG00000057477,ENSMMUG00000057477,lncRNA
ENSMMUG00000020200,ENSMMUG00000020200,protein_coding
ENSMMUG00000057677,ENSMMUG00000057677,lncRNA
ENSMMUG00000043676,U7,snRNA
ENSMMUG00000055580,Metazoa_SRP,misc_RNA
ENSMMUG00000004767,TMEM222,protein_coding
ENSMMUG00000058968,Metazoa_SRP,misc_RNA
ENSMMUG00000055849,U6,snRNA
ENSMMUG00000020217,PIGK,protein_coding
ENSMMUG00000036028,ENSMMUG00000036028,scaRNA
ENSMMUG00000024787,U6,snRNA
ENSMMUG00000039854,U6,snRNA
ENSMMUG00000016188,NR5A2,protein_coding
ENSMMUG00000057802,U6,snRNA
ENSMMUG00000035331,U6,snRNA
ENSMMUG00000063532,ENSMMUG00000063532,lncRNA
ENSMMUG00000053424,ENSMMUG00000053424,lncRNA
ENSMMUG00000062588,Metazoa_SRP,misc_RNA
ENSMMUG00000004762,WDTC1,protein_coding
ENSMMUG00000007334,ZNF281,protein_coding
ENSMMUG00000050830,ENSMMUG00000050830,protein_coding
ENSMMUG00000005994,ST6GALNAC5,protein_coding
ENSMMUG00000004266,KIF14,protein_coding
ENSMMUG00000058587,FAM131C,protein_coding
ENSMMUG00000047939,ENSMMUG00000047939,protein_coding
ENSMMUG00000049904,ENSMMUG00000049904,protein_coding
ENSMMUG00000025559,U6,snRNA
ENSMMUG00000053031,Metazoa_SRP,misc_RNA
ENSMMUG00000051563,ENSMMUG00000051563,lncRNA
ENSMMUG00000016893,SLC9A1,protein_coding
ENSMMUG00000005990,ST6GALNAC3,protein_coding
ENSMMUG00000004268,DDX59,protein_coding
ENSMMUG00000018235,CLCNKB,protein_coding
ENSMMUG00000040425,ENSMMUG00000040425,lncRNA
ENSMMUG00000064416,Metazoa_SRP,misc_RNA
ENSMMUG00000061104,ENSMMUG00000061104,lncRNA
ENSMMUG00000018695,ASB17,protein_coding
ENSMMUG00000015115,TENT5B,protein_coding
ENSMMUG00000021031,TRNP1,protein_coding
ENSMMUG00000050286,ENSMMUG00000050286,lncRNA
ENSMMUG00000000875,MSH4,protein_coding
ENSMMUG00000010290,NUDC,protein_coding
ENSMMUG00000012218,CAMSAP2,protein_coding
ENSMMUG00000002555,KDF1,protein_coding
ENSMMUG00000010291,NR0B2,protein_coding
ENSMMUG00000018723,GPATCH3,protein_coding
ENSMMUG00000018721,GPN2,protein_coding
ENSMMUG00000013855,SFN,protein_coding
ENSMMUG00000058432,ZDHHC18,protein_coding
ENSMMUG00000000873,RABGGTB,protein_coding
ENSMMUG00000001910,HSPB7,protein_coding
ENSMMUG00000001911,SRARP,protein_coding
ENSMMUG00000042737,Metazoa_SRP,misc_RNA
ENSMMUG00000052463,Metazoa_SRP,misc_RNA
ENSMMUG00000012700,PIGV,protein_coding
ENSMMUG00000026673,ENSMMUG00000026673,snoRNA
ENSMMUG00000025228,ENSMMUG00000025228,snoRNA
ENSMMUG00000025802,ENSMMUG00000025802,snoRNA
ENSMMUG00000012219,GPR25,protein_coding
ENSMMUG00000008031,ZBTB17,protein_coding
ENSMMUG00000063678,INAVA,protein_coding
ENSMMUG00000007220,ACADM,protein_coding
ENSMMUG00000052462,ENSMMUG00000052462,protein_coding
ENSMMUG00000012697,ARID1A,protein_coding
ENSMMUG00000026793,U6,snRNA
ENSMMUG00000054727,ENSMMUG00000054727,protein_coding
ENSMMUG00000005921,KIF21B,protein_coding
ENSMMUG00000017907,SLC44A5,protein_coding
ENSMMUG00000008026,SPEN,protein_coding
ENSMMUG00000055329,U6,snRNA
ENSMMUG00000005287,LHX8,protein_coding
ENSMMUG00000058507,ENSMMUG00000058507,lncRNA
ENSMMUG00000056266,Metazoa_SRP,misc_RNA
ENSMMUG00000014595,TYW3,protein_coding
ENSMMUG00000053669,ENSMMUG00000053669,snoRNA
ENSMMUG00000060442,ENSMMUG00000060442,snoRNA
ENSMMUG00000053479,U7,snRNA
ENSMMUG00000048752,Y_RNA,Y_RNA
ENSMMUG00000049989,Metazoa_SRP,misc_RNA
ENSMMUG00000045313,Metazoa_SRP,misc_RNA
ENSMMUG00000032243,FBLIM1,protein_coding
ENSMMUG00000022111,RPS6KA1,protein_coding
ENSMMUG00000045777,TMEM82,protein_coding
ENSMMUG00000019493,CRYZ,protein_coding
ENSMMUG00000055524,ENSMMUG00000055524,protein_coding
ENSMMUG00000057582,Metazoa_SRP,misc_RNA
ENSMMUG00000062199,Metazoa_SRP,misc_RNA
ENSMMUG00000017414,CACNA1S,protein_coding
ENSMMUG00000018797,CNTN2,protein_coding
ENSMMUG00000018802,TMEM81,protein_coding
ENSMMUG00000018803,RBBP5,protein_coding
ENSMMUG00000059935,Metazoa_SRP,misc_RNA
ENSMMUG00000051392,ENSMMUG00000051392,protein_coding
ENSMMUG00000017419,ASCL5,protein_coding
ENSMMUG00000022426,DHDDS,protein_coding
ENSMMUG00000013500,TMEM9,protein_coding
ENSMMUG00000019488,FPGT,protein_coding
ENSMMUG00000055712,Metazoa_SRP,misc_RNA
ENSMMUG00000049753,Metazoa_SRP,misc_RNA
ENSMMUG00000057870,Metazoa_SRP,misc_RNA
ENSMMUG00000010478,DSTYK,protein_coding
ENSMMUG00000013504,IGFN1,protein_coding
ENSMMUG00000010241,CRYBG2,protein_coding
ENSMMUG00000013506,PKP1,protein_coding
ENSMMUG00000056199,TNNT2,protein_coding
ENSMMUG00000050259,ENSMMUG00000050259,lncRNA
ENSMMUG00000010240,CD52,protein_coding
ENSMMUG00000013507,LAD1,protein_coding
ENSMMUG00000010480,TMCC2,protein_coding
ENSMMUG00000000649,UBXN11,protein_coding
ENSMMUG00000046222,TNNI1,protein_coding
ENSMMUG00000059120,Metazoa_SRP,misc_RNA
ENSMMUG00000049995,Metazoa_SRP,misc_RNA
ENSMMUG00000063592,Metazoa_SRP,misc_RNA
ENSMMUG00000049565,NUAK2,protein_coding
ENSMMUG00000061689,PHLDA3,protein_coding
ENSMMUG00000047008,ENSMMUG00000047008,protein_coding
ENSMMUG00000018585,KLHDC8A,protein_coding
ENSMMUG00000000644,CEP85,protein_coding
ENSMMUG00000020772,CSRP1,protein_coding
ENSMMUG00000004100,LEMD1,protein_coding
ENSMMUG00000026875,ENSMMUG00000026875,miRNA
ENSMMUG00000004109,CDK18,protein_coding
ENSMMUG00000001908,NAV1,protein_coding
ENSMMUG00000059396,Metazoa_SRP,misc_RNA
ENSMMUG00000004113,MFSD4A,protein_coding
ENSMMUG00000042455,LRRC53,protein_coding
ENSMMUG00000054201,U6,snRNA
ENSMMUG00000012465,LRRIQ3,protein_coding
ENSMMUG00000001024,ELK4,protein_coding
ENSMMUG00000061900,ENSMMUG00000061900,protein_coding
ENSMMUG00000055311,ENSMMUG00000055311,lncRNA
ENSMMUG00000059676,ENSMMUG00000059676,lncRNA
ENSMMUG00000004116,SLC45A3,protein_coding
ENSMMUG00000064500,ENSMMUG00000064500,lncRNA
ENSMMUG00000028002,U6,snRNA
ENSMMUG00000050499,ENSMMUG00000050499,lncRNA
ENSMMUG00000062335,ENSMMUG00000062335,protein_coding
ENSMMUG00000054753,U3,snoRNA
ENSMMUG00000059469,ENSMMUG00000059469,protein_coding
ENSMMUG00000062268,Metazoa_SRP,misc_RNA
ENSMMUG00000065181,ENSMMUG00000065181,protein_coding
ENSMMUG00000032213,CATSPER4,protein_coding
ENSMMUG00000051039,Metazoa_SRP,misc_RNA
ENSMMUG00000064105,ENSMMUG00000064105,protein_coding
ENSMMUG00000064439,ENSMMUG00000064439,protein_coding
ENSMMUG00000055835,NUCKS1,protein_coding
ENSMMUG00000032214,CNKSR1,protein_coding
ENSMMUG00000026143,SNORA72,snoRNA
ENSMMUG00000040742,ZNF593OS,protein_coding
ENSMMUG00000004682,ZNF593,protein_coding
ENSMMUG00000039194,C1H1orf232,protein_coding
ENSMMUG00000021426,SLC41A1,protein_coding
ENSMMUG00000045223,FAM110D,protein_coding
ENSMMUG00000016874,PDIK1L,protein_coding
ENSMMUG00000009452,TRIM63,protein_coding
ENSMMUG00000061379,ENSMMUG00000061379,pseudogene
ENSMMUG00000012328,SLC30A2,protein_coding
ENSMMUG00000061744,EXTL1,protein_coding
ENSMMUG00000057443,U6,snRNA
ENSMMUG00000003673,PM20D1,protein_coding
ENSMMUG00000035687,ENSMMUG00000035687,scaRNA
ENSMMUG00000014694,SLC26A9,protein_coding
ENSMMUG00000000655,PAFAH2,protein_coding
ENSMMUG00000001916,IPO9,protein_coding
ENSMMUG00000056006,ENSMMUG00000056006,lncRNA
ENSMMUG00000061872,RAB7B,protein_coding
ENSMMUG00000059618,U6,snRNA
ENSMMUG00000000653,STMN1,protein_coding
ENSMMUG00000021591,CTSE,protein_coding
ENSMMUG00000025936,Y_RNA,Y_RNA
ENSMMUG00000007857,PAQR7,protein_coding
ENSMMUG00000007856,AUNIP,protein_coding
ENSMMUG00000055438,ENSMMUG00000055438,lncRNA
ENSMMUG00000032777,ENSMMUG00000032777,snoRNA
ENSMMUG00000007854,MTFR1L,protein_coding
ENSMMUG00000002254,RHEX,protein_coding
ENSMMUG00000054385,AVPR1B,protein_coding
ENSMMUG00000004318,ENSMMUG00000004318,protein_coding
ENSMMUG00000004788,MAN1C1,protein_coding
ENSMMUG00000057092,ENSMMUG00000057092,protein_coding
ENSMMUG00000050620,ENSMMUG00000050620,protein_coding
ENSMMUG00000063601,ENSMMUG00000063601,protein_coding
ENSMMUG00000064534,ENSMMUG00000064534,lncRNA
ENSMMUG00000022614,SRGAP2,protein_coding
ENSMMUG00000001921,SHISA4,protein_coding
ENSMMUG00000001923,LMOD1,protein_coding
ENSMMUG00000001924,TIMM17A,protein_coding
ENSMMUG00000053279,SNORA70,snoRNA
ENSMMUG00000001926,RNPEP,protein_coding
ENSMMUG00000001929,ELF3,protein_coding
ENSMMUG00000055286,Metazoa_SRP,misc_RNA
ENSMMUG00000064915,Metazoa_SRP,misc_RNA
ENSMMUG00000061850,PDZK1IP1,protein_coding
ENSMMUG00000056714,Metazoa_SRP,misc_RNA
ENSMMUG00000032143,CYP4A11,protein_coding
ENSMMUG00000018867,CYP4X1,protein_coding
ENSMMUG00000019871,CYP4A45,protein_coding
ENSMMUG00000019873,CYP4B1,protein_coding
ENSMMUG00000056043,ENSMMUG00000056043,protein_coding
ENSMMUG00000059567,Metazoa_SRP,misc_RNA
ENSMMUG00000055389,ENSMMUG00000055389,protein_coding
ENSMMUG00000004864,TEX38,protein_coding
ENSMMUG00000002526,IKBKE,protein_coding
ENSMMUG00000004863,ATPAF1,protein_coding
ENSMMUG00000056620,ENSMMUG00000056620,protein_coding
ENSMMUG00000063131,MOB3C,protein_coding
ENSMMUG00000020162,MKNK1,protein_coding
ENSMMUG00000045607,RASSF5,protein_coding
ENSMMUG00000002528,EIF2D,protein_coding
ENSMMUG00000044038,KNCN,protein_coding
ENSMMUG00000054075,TMEM275,protein_coding
ENSMMUG00000058611,ENSMMUG00000058611,lncRNA
ENSMMUG00000014634,DMBX1,protein_coding
ENSMMUG00000056382,ENSMMUG00000056382,protein_coding
ENSMMUG00000055679,ENSMMUG00000055679,protein_coding
ENSMMUG00000002714,UQCRH,protein_coding
ENSMMUG00000023566,DYRK3,protein_coding
ENSMMUG00000023567,MAPKAPK2,protein_coding
ENSMMUG00000034409,U2,snRNA
ENSMMUG00000023569,IL10,protein_coding
ENSMMUG00000051918,Metazoa_SRP,misc_RNA
ENSMMUG00000023570,IL19,protein_coding
ENSMMUG00000023571,IL20,protein_coding
ENSMMUG00000023573,FCMR,protein_coding
ENSMMUG00000023572,IL24,protein_coding
ENSMMUG00000011220,PIGR,protein_coding
ENSMMUG00000032149,LRRC41,protein_coding
ENSMMUG00000011568,RAD54L,protein_coding
ENSMMUG00000061065,ENSMMUG00000061065,lncRNA
ENSMMUG00000063599,LURAP1,protein_coding
ENSMMUG00000015078,POMGNT1,protein_coding
ENSMMUG00000054850,ENSMMUG00000054850,protein_coding
ENSMMUG00000016452,TSPAN1,protein_coding
ENSMMUG00000015080,PIK3R3,protein_coding
ENSMMUG00000019033,RPTN,protein_coding
ENSMMUG00000015371,MAST2,protein_coding
ENSMMUG00000056263,TCHH,protein_coding
ENSMMUG00000020209,TCHHL1,protein_coding
ENSMMUG00000045342,ENSMMUG00000045342,protein_coding
ENSMMUG00000004441,ENSMMUG00000004441,protein_coding
ENSMMUG00000042487,ENSMMUG00000042487,protein_coding
ENSMMUG00000052533,S100A10,protein_coding
ENSMMUG00000014361,THEM4,protein_coding
ENSMMUG00000053942,Y_RNA,Y_RNA
ENSMMUG00000014358,C2CD4D,protein_coding
ENSMMUG00000012138,RORC,protein_coding
ENSMMUG00000012137,LINGO4,protein_coding
ENSMMUG00000009096,TDRKH,protein_coding
ENSMMUG00000009095,OAZ3,protein_coding
ENSMMUG00000001831,IPP,protein_coding
ENSMMUG00000009094,MRPL9,protein_coding
ENSMMUG00000057886,U6,snRNA
ENSMMUG00000016955,RIIAD1,protein_coding
ENSMMUG00000016952,CELF3,protein_coding
ENSMMUG00000040638,ENSMMUG00000040638,protein_coding
ENSMMUG00000001960,GPBP1L1,protein_coding
ENSMMUG00000016920,SNX27,protein_coding
ENSMMUG00000049545,U6,snRNA
ENSMMUG00000021260,TUFT1,protein_coding
ENSMMUG00000059762,ENSMMUG00000059762,protein_coding
ENSMMUG00000017259,DNAJC6,protein_coding
ENSMMUG00000023431,NASP,protein_coding
ENSMMUG00000027219,mml-mir-554,miRNA
ENSMMUG00000021259,CGN,protein_coding
ENSMMUG00000035742,ENSMMUG00000035742,snoRNA
ENSMMUG00000020925,POGZ,protein_coding
ENSMMUG00000049745,AKR1A1,protein_coding
ENSMMUG00000010773,ENSMMUG00000010773,protein_coding
ENSMMUG00000006221,PRDX1,protein_coding
ENSMMUG00000015950,MMACHC,protein_coding
ENSMMUG00000061520,ENSMMUG00000061520,lncRNA
ENSMMUG00000020083,TESK2,protein_coding
ENSMMUG00000050521,ENSMMUG00000050521,snoRNA
ENSMMUG00000020081,TOE1,protein_coding
ENSMMUG00000020079,MUTYH,protein_coding
ENSMMUG00000020078,HPDL,protein_coding
ENSMMUG00000065303,ENSMMUG00000065303,protein_coding
ENSMMUG00000020924,PSMB4,protein_coding
ENSMMUG00000060520,ENSMMUG00000060520,protein_coding
ENSMMUG00000060852,Metazoa_SRP,misc_RNA
ENSMMUG00000013001,ZSWIM5,protein_coding
ENSMMUG00000045396,SELENBP1,protein_coding
ENSMMUG00000016623,UROD,protein_coding
ENSMMUG00000051126,RFX5,protein_coding
ENSMMUG00000012993,HECTD3,protein_coding
ENSMMUG00000013170,PI4KB,protein_coding
ENSMMUG00000053254,AK4,protein_coding
ENSMMUG00000040158,Metazoa_SRP,misc_RNA
ENSMMUG00000053072,ENSMMUG00000053072,lncRNA
ENSMMUG00000065270,Metazoa_SRP,misc_RNA
ENSMMUG00000046173,ENSMMUG00000046173,lncRNA
ENSMMUG00000013166,ZNF687,protein_coding
ENSMMUG00000027055,mml-mir-101-1,miRNA
ENSMMUG00000035355,U6,snRNA
ENSMMUG00000052857,Metazoa_SRP,misc_RNA
ENSMMUG00000005342,EIF2B3,protein_coding
ENSMMUG00000049004,PSMD4,protein_coding
ENSMMUG00000005228,PIP5K1A,protein_coding
ENSMMUG00000028099,U5,snRNA
ENSMMUG00000040001,BTBD19,protein_coding
ENSMMUG00000006582,PLK3,protein_coding
ENSMMUG00000006580,DYNLT4,protein_coding
ENSMMUG00000050106,BEST4,protein_coding
ENSMMUG00000015270,RPS8,protein_coding
ENSMMUG00000049141,ENSMMUG00000049141,snoRNA
ENSMMUG00000026127,ENSMMUG00000026127,snoRNA
ENSMMUG00000026062,ENSMMUG00000026062,snoRNA
ENSMMUG00000044625,SNORD39,snoRNA
ENSMMUG00000054669,ENSMMUG00000054669,protein_coding
ENSMMUG00000021929,KIF2C,protein_coding
ENSMMUG00000007905,VPS72,protein_coding
ENSMMUG00000007903,TMOD4,protein_coding
ENSMMUG00000018566,JAK1,protein_coding
ENSMMUG00000007900,SCNM1,protein_coding
ENSMMUG00000045937,U5,snRNA
ENSMMUG00000013341,ARMH1,protein_coding
ENSMMUG00000007898,LYSMD1,protein_coding
ENSMMUG00000007897,TNFAIP8L2,protein_coding
ENSMMUG00000027468,U5,snRNA
ENSMMUG00000018565,RAVER2,protein_coding
ENSMMUG00000064464,TMEM53,protein_coding
ENSMMUG00000007643,SEMA6C,protein_coding
ENSMMUG00000023784,RNF220,protein_coding
ENSMMUG00000064480,ENSMMUG00000064480,protein_coding
ENSMMUG00000007577,CACHD1,protein_coding
ENSMMUG00000056209,Metazoa_SRP,misc_RNA
ENSMMUG00000024659,U6,snRNA
ENSMMUG00000011651,ERI3,protein_coding
ENSMMUG00000065196,Metazoa_SRP,misc_RNA
ENSMMUG00000065340,ENSMMUG00000065340,lncRNA
ENSMMUG00000011645,DMAP1,protein_coding
ENSMMUG00000051738,U7,snRNA
ENSMMUG00000057731,ENSMMUG00000057731,lncRNA
ENSMMUG00000051377,ENSMMUG00000051377,lncRNA
ENSMMUG00000012538,UBE2U,protein_coding
ENSMMUG00000008402,GABPB2,protein_coding
ENSMMUG00000028192,Y_RNA,Y_RNA
ENSMMUG00000005986,KLF17,protein_coding
ENSMMUG00000056799,ENSMMUG00000056799,protein_coding
ENSMMUG00000004668,ROR1,protein_coding
ENSMMUG00000039577,Metazoa_SRP,misc_RNA
ENSMMUG00000059902,Metazoa_SRP,misc_RNA
ENSMMUG00000061816,ENSMMUG00000061816,protein_coding
ENSMMUG00000056623,Y_RNA,Y_RNA
ENSMMUG00000020049,PGM1,protein_coding
ENSMMUG00000010075,MLLT11,protein_coding
ENSMMUG00000010074,CDC42SE1,protein_coding
ENSMMUG00000010072,C1H1orf56,protein_coding
ENSMMUG00000010071,BNIPL,protein_coding
ENSMMUG00000010068,PRUNE1,protein_coding
ENSMMUG00000054961,U6,snRNA
ENSMMUG00000010067,MINDY1,protein_coding
ENSMMUG00000023231,ANXA9,protein_coding
ENSMMUG00000023234,CERS2,protein_coding
ENSMMUG00000023235,SETDB1,protein_coding
ENSMMUG00000041335,Metazoa_SRP,misc_RNA
ENSMMUG00000037003,U7,snRNA
ENSMMUG00000059691,Metazoa_SRP,misc_RNA
ENSMMUG00000020047,ITGB3BP,protein_coding
ENSMMUG00000020046,ALG6,protein_coding
ENSMMUG00000063822,ENSMMUG00000063822,pseudogene
ENSMMUG00000000541,ARNT,protein_coding
ENSMMUG00000038713,U7,snRNA
ENSMMUG00000022350,FOXD3,protein_coding
ENSMMUG00000058152,ENSMMUG00000058152,protein_coding
ENSMMUG00000062705,U7,snRNA
ENSMMUG00000064339,ENSMMUG00000064339,lncRNA
ENSMMUG00000000386,ATG4C,protein_coding
ENSMMUG00000056324,ENSMMUG00000056324,protein_coding
ENSMMUG00000050619,ENSMMUG00000050619,protein_coding
ENSMMUG00000024937,U6,snRNA
ENSMMUG00000002340,DOCK7,protein_coding
ENSMMUG00000010670,CTSS,protein_coding
ENSMMUG00000010669,HORMAD1,protein_coding
ENSMMUG00000059541,U6,snRNA
ENSMMUG00000010668,GOLPH3L,protein_coding
ENSMMUG00000012814,ENSA,protein_coding
ENSMMUG00000061487,ENSMMUG00000061487,pseudogene
ENSMMUG00000053525,MCL1,protein_coding
ENSMMUG00000059920,Metazoa_SRP,misc_RNA
ENSMMUG00000063223,Metazoa_SRP,misc_RNA
ENSMMUG00000008218,ADAMTSL4,protein_coding
ENSMMUG00000006257,ECM1,protein_coding
ENSMMUG00000006256,TARS2,protein_coding
ENSMMUG00000053416,Metazoa_SRP,misc_RNA
ENSMMUG00000046449,ANGPTL3,protein_coding
ENSMMUG00000002339,USP1,protein_coding
ENSMMUG00000007303,RPRD2,protein_coding
ENSMMUG00000061867,Metazoa_SRP,misc_RNA
ENSMMUG00000024818,U6,snRNA
ENSMMUG00000010351,KANK4,protein_coding
ENSMMUG00000016301,PRPF3,protein_coding
ENSMMUG00000054861,Metazoa_SRP,misc_RNA
ENSMMUG00000033271,Y_RNA,Y_RNA
ENSMMUG00000006485,L1TD1,protein_coding
ENSMMUG00000064743,ENSMMUG00000064743,protein_coding
ENSMMUG00000060724,ENSMMUG00000060724,protein_coding
ENSMMUG00000064155,Metazoa_SRP,misc_RNA
ENSMMUG00000021391,MRPS21,protein_coding
ENSMMUG00000052437,ENSMMUG00000052437,pseudogene
ENSMMUG00000049420,ENSMMUG00000049420,protein_coding
ENSMMUG00000003113,PATJ,protein_coding
ENSMMUG00000060411,Metazoa_SRP,misc_RNA
ENSMMUG00000047338,Metazoa_SRP,misc_RNA
ENSMMUG00000052838,U6,snRNA
ENSMMUG00000024138,U6,snRNA
ENSMMUG00000010931,TM2D1,protein_coding
ENSMMUG00000045839,Metazoa_SRP,misc_RNA
ENSMMUG00000049093,Metazoa_SRP,misc_RNA
ENSMMUG00000057363,ENSMMUG00000057363,lncRNA
ENSMMUG00000056502,ENSMMUG00000056502,protein_coding
ENSMMUG00000055345,Y_RNA,Y_RNA
ENSMMUG00000026049,Y_RNA,Y_RNA
ENSMMUG00000023150,KIAA1143,protein_coding
ENSMMUG00000054234,SERP1,protein_coding
ENSMMUG00000013353,ENSMMUG00000013353,protein_coding
ENSMMUG00000050870,U6,snRNA
ENSMMUG00000000932,PPP2R3A,protein_coding
ENSMMUG00000022196,GPR160,protein_coding
ENSMMUG00000034148,U4,snRNA
ENSMMUG00000003304,EPHB3,protein_coding
ENSMMUG00000031508,ENSMMUG00000031508,protein_coding
ENSMMUG00000000933,MSL2,protein_coding
ENSMMUG00000050612,Metazoa_SRP,misc_RNA
ENSMMUG00000057322,ENSMMUG00000057322,lncRNA
ENSMMUG00000064198,ENSMMUG00000064198,protein_coding
ENSMMUG00000063790,ENSMMUG00000063790,protein_coding
ENSMMUG00000051858,ENSMMUG00000051858,lncRNA
ENSMMUG00000016974,DNAH1,protein_coding
ENSMMUG00000002953,MAGEF1,protein_coding
ENSMMUG00000061122,ENSMMUG00000061122,lncRNA
ENSMMUG00000054972,ENSMMUG00000054972,lncRNA
ENSMMUG00000055243,ENSMMUG00000055243,lncRNA
ENSMMUG00000022199,PHC3,protein_coding
ENSMMUG00000055701,ENSMMUG00000055701,protein_coding
ENSMMUG00000003262,PCCB,protein_coding
ENSMMUG00000001349,CHL1,protein_coding
ENSMMUG00000016982,BAP1,protein_coding
ENSMMUG00000056664,U6,snRNA
ENSMMUG00000035795,U7,snRNA
ENSMMUG00000011222,PRKCI,protein_coding
ENSMMUG00000016984,PHF7,protein_coding
ENSMMUG00000000425,VPS8,protein_coding
ENSMMUG00000018872,SEMA3G,protein_coding
ENSMMUG00000005618,TNNC1,protein_coding
ENSMMUG00000003263,STAG1,protein_coding
