name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
Nitrosococcus halophilus,133539,S,10,1,11,7.54E-06
Chromatiaceae bacterium 2141T.STBD.0c.01a,1978339,S,53,7,60,4.11E-05
Allochromatium vinosum,1049,S,37,40,77,5.28E-05
Marichromatium purpuratum,37487,S,23,24,47,3.22E-05
Thioflavicoccus mobilis,80679,S,19,10,29,1.99E-05
Thiocystis violascens,73141,S,12,5,17,1.17E-05
Acidihalobacter prosperus,160660,S,67,80,147,0.000100762
Acidihalobacter ferrooxidans,1765967,S,29,34,63,4.32E-05
Thioalkalivibrio nitratireducens,186931,S,10,35,45,3.08E-05
Halorhodospira halochloris,1052,S,33,9,42,2.88E-05
Spiribacter curvatus,1335757,S,16,9,25,1.71E-05
Alkalilimnicola ehrlichii,351052,S,19,30,49,3.36E-05
Granulosicoccus antarcticus,437505,S,65,1,66,4.52E-05
Halothiobacillus sp. LS2,1860122,S,20,19,39,2.67E-05
Halothiobacillus neapolitanus,927,S,15,13,28,1.92E-05
Wenzhouxiangella marina,1579979,S,35,4,39,2.67E-05
Woeseia oceani,1548547,S,22,0,22,1.51E-05
Methylophaga nitratireducenticrescens,754476,S,62,41,103,7.06E-05
Methylophaga frappieri,754477,S,30,34,64,4.39E-05
Thiomicrospira cyclica,147268,S,13,130,143,9.80E-05
Hydrogenovibrio crunogenus,39765,S,32,1,33,2.26E-05
Piscirickettsia salmonis,1238,S,15,6,21,1.44E-05
Francisella tularensis,263,S,56,234,290,0.000198782
Francisella sp. FDC440,2007306,S,40,1,41,2.81E-05
Francisella philomiragia,28110,S,35,11,46,3.15E-05
Francisella sp. TX077310,573570,S,22,1,23,1.58E-05
Francisella sp. FSC1006,1547445,S,16,1,17,1.17E-05
Francisella sp. CA97-1460,1542390,S,14,1,15,1.03E-05
Allofrancisella guangzhouensis,594679,S,26,3,29,1.99E-05
Beggiatoa leptomitoformis,288004,S,143,13,156,0.000106931
Thioploca ingrica,40754,S,20,7,27,1.85E-05
Methylomonas denitrificans,1538553,S,67,96,163,0.000111729
Methylomonas methanica,421,S,35,37,72,4.94E-05
Methylomicrobium album,39775,S,73,97,170,0.000116527
Methylomicrobium alcaliphilum,271065,S,37,38,75,5.14E-05
Methylocaldum marinum,1432792,S,47,14,61,4.18E-05
Methylovulum psychrotolerans,1704499,S,42,13,55,3.77E-05
Sulfurifustis variabilis,1675686,S,175,31,206,0.000141204
Sulfuricaulis limicola,1620215,S,63,11,74,5.07E-05
Acidiferrobacter sp. SPIII_3,1281578,S,39,2,41,2.81E-05
Immundisolibacter cernigliae,1810504,S,190,29,219,0.000150115
Dichelobacter nodosus,870,S,84,19,103,7.06E-05
Bradyrhizobium sp. SK17,2057741,S,375,1401,1776,0.001217367
Bradyrhizobium sp. 2 39S1MB,1404768,S,193,1299,1492,0.001022698
Bradyrhizobium sp. S23321,335659,S,56,229,285,0.000195355
Bradyrhizobium oligotrophicum,44255,S,47,142,189,0.000129551
Bradyrhizobium sp. 3 85S1MB,1404367,S,24,156,180,0.000123382
Bradyrhizobium sp. CCGE-LA001,1223566,S,16,52,68,4.66E-05
Bradyrhizobium erythrophlei,1437360,S,15,28,43,2.95E-05
Bradyrhizobium sp. ORS 278,114615,S,12,43,55,3.77E-05
Bradyrhizobium sp. BTAi1,288000,S,12,33,45,3.08E-05
Bosea sp. AS-1,2015316,S,85,229,314,0.000215233
Bosea vaviloviae,1526658,S,37,137,174,0.000119269
Bosea sp. RAC05,1842539,S,16,75,91,6.24E-05
Bosea sp. PAMC 26642,1792307,S,15,57,72,4.94E-05
Rhodopseudomonas palustris,1076,S,191,818,1009,0.000691624
Variibacter gotjawalensis,1333996,S,155,129,284,0.000194669
Nitrobacter winogradskyi,913,S,70,174,244,0.000167251
Bradyrhizobiaceae bacterium SG-6C,709797,S,56,219,275,0.0001885
Oligotropha carboxidovorans,40137,S,53,-53,0,0
Methylobacterium sp. 17SD2-17,2202825,S,153,207,360,0.000246764
Methylobacterium sp. 17Sr1-1,2202826,S,151,442,593,0.000406475
Methylobacterium sp. DM1,2067957,S,65,1114,1179,0.000808151
Methylobacterium sp. 17Sr1-28,2202827,S,62,176,238,0.000163138
Methylobacterium currus,2051553,S,61,235,296,0.000202895
Methylobacterium nodulans,114616,S,35,31,66,4.52E-05
Methylobacterium sp. XJLM,1826873,S,28,2221,2249,0.001541587
Methylobacterium phyllosphaerae,418223,S,27,610,637,0.000436635
Methylobacterium aquaticum,270351,S,24,62,86,5.89E-05
Methylobacterium sp. 17Sr1-43,2202828,S,18,37,55,3.77E-05
Methylobacterium sp. 4-46,426117,S,16,19,35,2.40E-05
Microvirga sp. 17 mud 1-3,2082949,S,59,82,141,9.66E-05
Microvirga ossetica,1882682,S,28,23,51,3.50E-05
Methylorubrum populi,223967,S,19,219,238,0.000163138
Hyphomicrobium nitrativorans,1427356,S,187,251,438,0.000300229
Hyphomicrobium sp. MC1,717785,S,136,341,477,0.000326962
Hyphomicrobium denitrificans,53399,S,66,85,151,0.000103504
Devosia sp. I507,2083786,S,336,295,631,0.000432522
Devosia sp. A16,1736675,S,164,179,343,0.000235111
Devosia sp. H5989,1643450,S,98,136,234,0.000160396
Candidatus Filomicrobium marinum,1608628,S,200,61,261,0.000178904
Rhodomicrobium vannielii,1069,S,181,93,274,0.000187815
Rhodoplanes sp. Z2-YC6860,674703,S,150,100,250,0.000171364
Pelagibacterium halotolerans,531813,S,69,73,142,9.73E-05
Blastochloris viridis,1079,S,67,102,169,0.000115842
Rhizobium sp. NT-26,1125847,S,212,280,492,0.000337244
Rhizobium leguminosarum,384,S,21,99,120,8.23E-05
Agrobacterium fabrum,1176649,S,32,52,84,5.76E-05
Agrobacterium tumefaciens,358,S,22,134,156,0.000106931
Agrobacterium sp. RAC06,1842536,S,42,33,75,5.14E-05
Agrobacterium rhizogenes,359,S,22,31,53,3.63E-05
Agrobacterium vitis,373,S,21,15,36,2.47E-05
Neorhizobium galegae,399,S,13,8,21,1.44E-05
Shinella sp. HZN7,879274,S,427,1301,1728,0.001184465
Candidatus Liberibacter africanus,34020,S,28,10,38,2.60E-05
Candidatus Liberibacter solanacearum,556287,S,25,9,34,2.33E-05
Candidatus Liberibacter asiaticus,34021,S,20,280,300,0.000205636
Liberibacter crescens,1273132,S,20,8,28,1.92E-05
Sinorhizobium fredii,380,S,30,120,150,0.000102818
Ensifer adhaerens,106592,S,29,36,65,4.46E-05
Mesorhizobium ciceri,39645,S,76,160,236,0.000161767
Mesorhizobium sp. DCY119,2108445,S,21,48,69,4.73E-05
Mesorhizobium oceanicum,1670800,S,19,28,47,3.22E-05
Chelativorans sp. BNC1,266779,S,106,88,194,0.000132978
Nitratireductor sp. OM-1,1756988,S,31,31,62,4.25E-05
Aminobacter sp. MSH1,374606,S,13,49,62,4.25E-05
Phyllobacterium zundukense,1867719,S,22,15,37,2.54E-05
Hoeflea sp. IMCC20628,1620421,S,17,11,28,1.92E-05
Azorhizobium caulinodans,7,S,82,98,180,0.000123382
Xanthobacter autotrophicus,280,S,68,154,222,0.000152171
Starkeya novella,921,S,51,82,133,9.12E-05
Pseudolabrys taiwanensis,331696,S,37,33,70,4.80E-05
Methylocella silvestris,199596,S,176,175,351,0.000240595
Beijerinckia indica,533,S,13,10,23,1.58E-05
Bartonella apis,1686310,S,17,3,20,1.37E-05
Bartonella sp. Raccoon60,1933912,S,15,224,239,0.000163824
Bartonella sp. Coyote22sub2,1933911,S,10,1731,1741,0.001193376
Candidatus Phaeomarinobacter ectocarpi,1458461,S,87,14,101,6.92E-05
Parvibaculum lavamentivorans,256618,S,73,145,218,0.000149429
Rhodobiaceae bacterium,2026785,S,52,4,56,3.84E-05
Anderseniella sp. Alg231-50,1922226,S,44,7,51,3.50E-05
Methylocystis bryophila,655015,S,41,46,87,5.96E-05
Methylocystis sp. SC2,187303,S,26,29,55,3.77E-05
Methylosinus trichosporium,426,S,29,47,76,5.21E-05
Brucella melitensis,29459,S,15,4963,4978,0.003412193
Ochrobactrum anthropi,529,S,31,142,173,0.000118584
Hartmannibacter diazotrophicus,1482074,S,98,94,192,0.000131607
Pseudorhodoplanes sinuspersici,1235591,S,38,18,56,3.84E-05
Cohaesibacter sp. ES.047,1798205,S,99,24,123,8.43E-05
Breoghania sp. L-A4,2304600,S,30,25,55,3.77E-05
Aureimonas sp. AU20,1349819,S,83,60,143,9.80E-05
Sphingomonas sp. KC8,1030157,S,342,491,833,0.000570984
Sphingomonas hengshuiensis,1609977,S,204,251,455,0.000311882
Sphingomonas koreensis,93064,S,198,1193,1391,0.000953467
Sphingomonas panacis,1560345,S,162,197,359,0.000246078
Sphingomonas sp. LK11,1390395,S,161,351,512,0.000350953
Sphingomonas sp. LM7,1938607,S,159,250,409,0.000280351
Sphingomonas taxi,1549858,S,155,345,500,0.000342727
Sphingomonas sp. FARSPH,2219696,S,81,325,406,0.000278295
Sphingomonas indica,941907,S,66,104,170,0.000116527
Sphingomonas melonis,152682,S,64,1102,1166,0.00079924
Sphingomonas sanxanigenens,397260,S,40,186,226,0.000154913
Sphingomonas sp. JJ-A5,1921510,S,37,482,519,0.000355751
Sphingomonas sp. MM-1,745310,S,30,454,484,0.00033176
Sphingomonas wittichii,160791,S,27,110,137,9.39E-05
Sphingomonas sp. Cra20,1327635,S,22,26,48,3.29E-05
Sphingopyxis sp. LPB0140,1913578,S,551,217,768,0.000526429
Sphingopyxis macrogoltabida,33050,S,52,340,392,0.000268698
Sphingopyxis alaskensis,117207,S,48,156,204,0.000139833
Sphingopyxis fribergensis,1515612,S,41,219,260,0.000178218
Sphingopyxis sp. 113P3,292913,S,30,160,190,0.000130236
Sphingopyxis sp. EG6,1874061,S,14,85,99,6.79E-05
Sphingopyxis terrae,33052,S,12,63,75,5.14E-05
Sphingopyxis granuli,267128,S,10,472,482,0.000330389
Sphingobium sp. RAC03,1843368,S,62,248,310,0.000212491
Sphingobium sp. SCG-1,2072936,S,49,43,92,6.31E-05
Sphingobium yanoikuyae,13690,S,41,315,356,0.000244022
Sphingobium sp. SYK-6,627192,S,35,187,222,0.000152171
Sphingobium cloacae,120107,S,16,311,327,0.000224144
Sphingobium sp. YBL2,484429,S,14,203,217,0.000148744
Novosphingobium sp. P6W,1609758,S,168,239,407,0.00027898
Novosphingobium aromaticivorans,48935,S,68,213,281,0.000192613
Novosphingobium sp. THN1,1016987,S,59,129,188,0.000128865
Novosphingobium sp. PP1Y,702113,S,52,324,376,0.000257731
Novosphingobium resinovorum,158500,S,34,171,205,0.000140518
Zymomonas mobilis,542,S,150,10,160,0.000109673
Sphingorhabdus sp. Alg231-15,1922222,S,14,8,22,1.51E-05
Sphingorhabdus sp. M41,1806885,S,13,96,109,7.47E-05
Rhizorhabdus dicambivorans,1850238,S,26,291,317,0.000217289
Erythrobacter gangjinensis,502682,S,179,248,427,0.000292689
Erythrobacter seohaensis,266951,S,66,158,224,0.000153542
Erythrobacter flavus,192812,S,31,290,321,0.000220031
Erythrobacter sp. YH-07,2182384,S,14,29,43,2.95E-05
Altererythrobacter sp. B11,2060312,S,77,518,595,0.000407845
Altererythrobacter dongtanensis,692370,S,45,110,155,0.000106245
Altererythrobacter marensis,543877,S,22,45,67,4.59E-05
Altererythrobacter ishigakiensis,476157,S,17,12,29,1.99E-05
Altererythrobacter atlanticus,1267766,S,14,80,94,6.44E-05
Altererythrobacter epoxidivorans,361183,S,12,36,48,3.29E-05
Croceicoccus marinus,450378,S,78,583,661,0.000453085
Porphyrobacter sp. LM 6,1896196,S,10,50,60,4.11E-05
Paracoccus yeei,147645,S,157,1449,1606,0.00110084
Paracoccus zhejiangensis,1077935,S,118,308,426,0.000292004
Paracoccus sp. SC2-6,2259340,S,105,211,316,0.000216604
Paracoccus sp. CBA4604,2065379,S,86,149,235,0.000161082
Paracoccus aminovorans,34004,S,83,228,311,0.000213176
Paracoccus aminophilus,34003,S,45,39,84,5.76E-05
Paracoccus denitrificans,266,S,32,83,115,7.88E-05
Paracoccus sp. BM15,1529068,S,28,22,50,3.43E-05
Paracoccus contaminans,1945662,S,15,32,47,3.22E-05
Rhodobacter sphaeroides,1063,S,419,1938,2357,0.001615616
Rhodobacter capsulatus,1061,S,169,285,454,0.000311196
Rhodobacter sp. LPB0142,1850250,S,48,208,256,0.000175476
Gemmobacter sp. HYN0069,2169400,S,686,839,1525,0.001045318
Defluviimonas alba,1335048,S,345,1514,1859,0.00127426
Rhodobacteraceae bacterium QY30,2033435,S,218,315,533,0.000365347
Rhodobacteraceae bacterium BAR1,2171755,S,15,8,23,1.58E-05
Ketogulonicigenium vulgare,92945,S,18,831,849,0.000581951
Rhodovulum sp. P5,1564506,S,91,137,228,0.000156284
Yangia sp. CCB-MM3,1792508,S,26,121,147,0.000100762
Celeribacter indicus,1208324,S,40,336,376,0.000257731
Celeribacter baekdonensis,875171,S,37,173,210,0.000143945
Thioclava nitratireducens,1915078,S,70,159,229,0.000156969
Ruegeria sp. NKC1-1,2099786,S,42,4,46,3.15E-05
Ruegeria pomeroyi,89184,S,22,38,60,4.11E-05
Rhodobaca barguzinensis,441209,S,64,33,97,6.65E-05
Dinoroseobacter shibae,215813,S,63,429,492,0.000337244
Phaeobacter piscinae,1580596,S,49,155,204,0.000139833
Pannonibacter phragmitetus,121719,S,50,263,313,0.000214547
Jannaschia sp. CCS1,290400,S,49,18,67,4.59E-05
Yoonia vestfoldensis,245188,S,38,130,168,0.000115156
Sulfitobacter sp. SK012,1389005,S,10,4,14,9.60E-06
Halocynthiibacter arcticus,1579316,S,20,8,28,1.92E-05
Confluentimicrobium sp. EMB200-NS6,1609966,S,17,157,174,0.000119269
Stappia sp. ES.058,1881061,S,16,12,28,1.92E-05
Pelagibaca abyssi,1250539,S,14,92,106,7.27E-05
Thalassococcus sp. SH-1,2109625,S,14,24,38,2.60E-05
Tateyamaria omphalii,299262,S,12,8,20,1.37E-05
Hyphomonas sp. CACIAM 19H1,1873716,S,88,267,355,0.000243336
Hyphomonas sp. Mor2,1906738,S,58,10,68,4.66E-05
Hirschia baltica,2724,S,38,4,42,2.88E-05
Maricaulis maris,74318,S,10,4,14,9.60E-06
Brevundimonas diminuta,293,S,2967,8774,11741,0.008047921
Brevundimonas naejangsanensis,588932,S,1202,1974,3176,0.002177004
Brevundimonas sp. DS20,1532555,S,230,392,622,0.000426353
Brevundimonas sp. LM2,1938605,S,109,103,212,0.000145316
Brevundimonas sp. GW460-12-10-14-LB2,1827469,S,45,241,286,0.00019604
Brevundimonas vesicularis,41276,S,36,162,198,0.00013572
Brevundimonas subvibrioides,74313,S,16,16,32,2.19E-05
Phenylobacterium zucineum,284016,S,351,531,882,0.000604571
Phenylobacterium sp. HYN0004,2201350,S,155,144,299,0.000204951
Caulobacter sp. K31,366602,S,115,190,305,0.000209064
Caulobacter mirabilis,69666,S,109,133,242,0.00016588
Caulobacter segnis,88688,S,37,113,150,0.000102818
Caulobacter henricii,69395,S,24,44,68,4.66E-05
Caulobacter vibrioides,155892,S,18,53,71,4.87E-05
Caulobacteraceae bacterium OTSz_A_272,1759059,S,269,34,303,0.000207693
Asticcacaulis excentricus,78587,S,247,80,327,0.000224144
Roseomonas sp. FDAARGOS_362,2018065,S,198,1619,1817,0.001245471
Gluconobacter albidus,318683,S,250,243,493,0.000337929
Gluconobacter oxydans,442,S,19,27,46,3.15E-05
Acetobacter tropicalis,104102,S,44,199,243,0.000166565
Acetobacter ghanensis,431306,S,37,81,118,8.09E-05
Acetobacter aceti,435,S,14,14,28,1.92E-05
Acidisphaera sp. G45-3,1969806,S,44,33,77,5.28E-05
Komagataeibacter europaeus,33995,S,25,67,92,6.31E-05
Parasaccharibacter apium,1510841,S,37,12,49,3.36E-05
Granulibacter bethesdensis,364410,S,35,20,55,3.77E-05
Asaia bogorensis,91915,S,11,8,19,1.30E-05
Magnetospirillum sp. XM-1,1663591,S,97,444,541,0.000370831
Magnetospirillum gryphiswaldense,55518,S,59,43,102,6.99E-05
Magnetospirillum magneticum,84159,S,35,90,125,8.57E-05
Azospirillum thiophilum,528244,S,130,308,438,0.000300229
Azospirillum lipoferum,193,S,33,197,230,0.000157655
Rhodospirillaceae bacterium SCSIO 08040,2220096,S,208,289,497,0.000340671
Thalassospira xiamenensis,220697,S,125,51,176,0.00012064
Niveispirillum cyanobacteriorum,1612173,S,122,130,252,0.000172735
Candidatus Endolissoclinum faulkneri,1263979,S,118,0,118,8.09E-05
Rhodospirillum centenum,34018,S,61,128,189,0.000129551
Rhodospirillum rubrum,1085,S,46,-46,0,0
Pararhodospirillum photometricum,1084,S,87,70,157,0.000107616
Magnetospira sp. QH-2,1288970,S,56,12,68,4.66E-05
Nitrospirillum amazonense,28077,S,51,50,101,6.92E-05
Tistrella mobilis,171437,S,43,35,78,5.35E-05
Haematospirillum jordaniae,1549855,S,24,8,32,2.19E-05
Rickettsia raoultii,369822,S,14,65,79,5.42E-05
Rickettsia endosymbiont of Bemisia tabaci,337479,S,21,159,180,0.000123382
Rickettsia bellii,33990,S,12,86,98,6.72E-05
Orientia tsutsugamushi,784,S,83,42,125,8.57E-05
Candidatus Phycorickettsia trachydisci,2115978,S,47,11,58,3.98E-05
Wolbachia endosymbiont of Cimex lectularius,246273,S,62,11,73,5.00E-05
Wolbachia endosymbiont of Drosophila simulans,77038,S,34,103,137,9.39E-05
Wolbachia endosymbiont of Folsomia candida,169402,S,33,4,37,2.54E-05
Ehrlichia canis,944,S,63,216,279,0.000191242
Candidatus Midichloria mitochondrii,234827,S,69,68,137,9.39E-05
Candidatus Fokinia solitaria,1802984,S,36,6,42,2.88E-05
Rickettsiales bacterium Ac37b,1528098,S,97,40,137,9.39E-05
Candidatus Paracaedibacter acanthamoebae,91604,S,302,68,370,0.000253618
Candidatus Nucleicultrix amoebiphila,1509244,S,106,28,134,9.19E-05
endosymbiont of Acanthamoeba sp. UWC8,86106,S,84,11,95,6.51E-05
alpha proteobacterium HIMB59,744985,S,72,14,86,5.89E-05
Candidatus Pelagibacter sp. IMCC9063,1002672,S,27,35,62,4.25E-05
Candidatus Pelagibacter sp. RS40,1977865,S,11,192,203,0.000139147
Candidatus Fonsibacter ubiquis,1925548,S,36,7,43,2.95E-05
Phreatobacter cathodiphilus,1868589,S,124,187,311,0.000213176
Micavibrio aeruginosavorus,349221,S,119,4,123,8.43E-05
Candidatus Puniceispirillum marinum,767892,S,39,7,46,3.15E-05
Parvularcula bermudensis,208216,S,14,2,16,1.10E-05
Magnetococcus marinus,1124597,S,11,-1,10,6.85E-06
Chondromyces crocatus,52,S,938,937,1875,0.001285227
Sorangium cellulosum,56,S,683,661,1344,0.000921251
Pajaroellobacter abortibovis,1882918,S,679,181,860,0.000589491
Sandaracinus amylolyticus,927083,S,724,206,930,0.000637473
Vulgatibacter incomptus,1391653,S,284,111,395,0.000270755
Stigmatella aurantiaca,41,S,98,455,553,0.000379056
Anaeromyxobacter sp. Fw109-5,404589,S,58,125,183,0.000125438
Myxococcus xanthus,34,S,15,93,108,7.40E-05
Myxococcus stipitatus,83455,S,10,24,34,2.33E-05
Corallococcus coralloides,184914,S,22,45,67,4.59E-05
Haliangium ochraceum,80816,S,513,52,565,0.000387282
Geobacter sp. M18,443143,S,88,205,293,0.000200838
Geobacter anodireducens,1340425,S,44,327,371,0.000254304
Geobacter pickeringii,345632,S,36,22,58,3.98E-05
Geobacter lovleyi,313985,S,32,10,42,2.88E-05
Geobacter sp. DSM 9736,1277350,S,22,4,26,1.78E-05
Geobacter metallireducens,28232,S,11,5,16,1.10E-05
Geoalkalibacter subterraneus,483547,S,91,362,453,0.000310511
Pelobacter propionicus,29543,S,164,141,305,0.000209064
Pelobacter sp. SFB93,1842532,S,17,11,28,1.92E-05
Desulfovibrio alaskensis,58180,S,100,537,637,0.000436635
Desulfovibrio sp. FW1012B,644968,S,64,24,88,6.03E-05
Desulfovibrio vulgaris,881,S,51,496,547,0.000374944
Desulfovibrio gigas,879,S,14,1,15,1.03E-05
Desulfovibrio magneticus,184917,S,13,3,16,1.10E-05
Desulfovibrio hydrothermalis,191026,S,11,5,16,1.10E-05
Lawsonia intracellularis,29546,S,22,-22,0,0
Pseudodesulfovibrio profundus,57320,S,13,41,54,3.70E-05
Desulfomicrobium baculatum,899,S,69,26,95,6.51E-05
Desulfomicrobium orale,132132,S,17,25,42,2.88E-05
Desulfohalobium retbaense,45663,S,68,9,77,5.28E-05
Desulfococcus oleovorans,181663,S,93,13,106,7.27E-05
Desulfococcus multivorans,897,S,28,21,49,3.36E-05
Desulfatibacillum alkenivorans,259354,S,66,10,76,5.21E-05
Desulfobacterium autotrophicum,2296,S,65,30,95,6.51E-05
Desulfobacter postgatei,2293,S,46,31,77,5.28E-05
Desulfobacula toluolica,28223,S,39,23,62,4.25E-05
Desulfotalea psychrophila,84980,S,128,69,197,0.000135035
Desulfobulbus sp. ORNL,1986146,S,45,62,107,7.33E-05
Desulfurivibrio alkaliphilus,427923,S,41,7,48,3.29E-05
Desulfocapsa sulfexigens,65555,S,30,6,36,2.47E-05
Syntrophus aciditrophicus,316277,S,277,26,303,0.000207693
Desulfomonile tiedjei,2358,S,144,4,148,0.000101447
Desulfobacca acetoxidans,60893,S,99,6,105,7.20E-05
Syntrophobacter fumaroxidans,119484,S,79,154,233,0.000159711
Candidatus Babela massiliensis,673862,S,148,12,160,0.000109673
Bradymonas sediminis,1548548,S,137,9,146,0.000100076
Desulfurella acetivorans,33002,S,89,40,129,8.84E-05
Hippea maritima,84405,S,13,4,17,1.17E-05
Desulfarculus baarsii,453230,S,21,63,84,5.76E-05
Candidatus Desulfofervidus auxilii,1621989,S,18,1,19,1.30E-05
Aliiarcobacter trophiarum,708186,S,165,244,409,0.000280351
Aliiarcobacter skirrowii,28200,S,162,274,436,0.000298858
Aliiarcobacter butzleri,28197,S,42,136,178,0.000122011
Pseudoarcobacter suis,1278212,S,467,1018,1485,0.0010179
Malacobacter mytili,603050,S,26,42,68,4.66E-05
Arcobacter sp. L,944547,S,32,175,207,0.000141889
Arcobacter sp. LPB0137,1850254,S,11,10,21,1.44E-05
Haloarcobacter bivalviorum,663364,S,36,42,78,5.35E-05
Arcobacter nitrofigilis,28199,S,11,8,19,1.30E-05
Campylobacter gracilis,824,S,265,30,295,0.000202209
Campylobacter ureolyticus,827,S,65,18,83,5.69E-05
Campylobacter hyointestinalis,198,S,47,8,55,3.77E-05
Campylobacter lari,201,S,25,11,36,2.47E-05
Campylobacter pinnipediorum,1965231,S,15,0,15,1.03E-05
Campylobacter jejuni,197,S,13,471,484,0.00033176
Sulfurospirillum cavolei,366522,S,32,181,213,0.000146002
Sulfuricurvum kujiense,148813,S,483,17,500,0.000342727
Helicobacter acinonychis,212,S,95,7,102,6.99E-05
Helicobacter pylori,210,S,52,2112,2164,0.001483324
Helicobacter saguini,1548018,S,37,1,38,2.60E-05
Helicobacter mustelae,217,S,18,0,18,1.23E-05
Sulfurimonas denitrificans,39766,S,97,96,193,0.000132293
Sulfurimonas gotlandica,1176482,S,16,15,31,2.12E-05
Nitratiruptor sp. SB155-2,387092,S,91,4,95,6.51E-05
Nautilia profundicola,244787,S,38,4,42,2.88E-05
Bdellovibrio bacteriovorus,959,S,861,250,1111,0.00076154
Bdellovibrio exovorus,453816,S,425,150,575,0.000394136
Bacteriovorax stolpii,960,S,362,167,529,0.000362605
Halobacteriovorax marinus,97084,S,91,64,155,0.000106245
Hydrogenophilus thermoluteolus,297,S,254,34,288,0.000197411
Mariprofundus aestuarium,1921086,S,152,15,167,0.000114471
Mariprofundus ferrinatatus,1921087,S,36,3,39,2.67E-05
Acidithiobacillus caldus,33059,S,12,1,13,8.91E-06
Acidithiobacillus ferrivorans,160808,S,10,4,14,9.60E-06
Micrococcus luteus,1270,S,7528,6687,14215,0.009743736
Kocuria palustris,71999,S,1557,1050,2607,0.00178698
Kocuria turfanensis,388357,S,400,550,950,0.000651182
Kocuria flava,446860,S,285,490,775,0.000531227
Rothia mucilaginosa,43675,S,932,422,1354,0.000928105
Rothia dentocariosa,2047,S,306,113,419,0.000287205
Arthrobacter sp. YN,2020486,S,109,146,255,0.000174791
Arthrobacter crystallopoietes,37928,S,107,50,157,0.000107616
Arthrobacter alpinus,656366,S,93,49,142,9.73E-05
Arthrobacter sp. DCT5,2211210,S,62,37,99,6.79E-05
Arthrobacter sp. PAMC 25486,1494608,S,32,24,56,3.84E-05
Arthrobacter sp. Rue61a,1118963,S,26,2338,2364,0.001620414
Arthrobacter sp. ERGS1:01,1704044,S,25,19,44,3.02E-05
Arthrobacter sp. U41,1849032,S,22,20,42,2.88E-05
Arthrobacter sp. QXT-31,1357915,S,21,19,40,2.74E-05
Renibacterium salmoninarum,1646,S,318,44,362,0.000248135
Psychromicrobium lacuslunae,1618207,S,171,23,194,0.000132978
Pseudarthrobacter equi,728066,S,27,85,112,7.68E-05
Pseudarthrobacter sulfonivorans,121292,S,21,18,39,2.67E-05
Glutamicibacter arilaitensis,256701,S,110,55,165,0.0001131
Neomicrococcus aestuarii,556325,S,87,29,116,7.95E-05
Sinomonas atrocyanea,37927,S,43,19,62,4.25E-05
Auritidibacter sp. NML130574,2170745,S,32,3,35,2.40E-05
Zhihengliuella sp. ISTPL4,2058657,S,11,135,146,0.000100076
Rhodoluna lacicola,529884,S,4635,2099,6734,0.004615851
Candidatus Rhodoluna planktonica,535712,S,1464,576,2040,0.001398327
Candidatus Aquiluna sp. UB-MaderosW2red,1855377,S,358,88,446,0.000305713
Microbacterium sp. PM5,2014534,S,237,199,436,0.000298858
Microbacterium aurum,36805,S,150,194,344,0.000235796
Microbacterium foliorum,104336,S,132,153,285,0.000195355
Microbacterium pygmaeum,370764,S,88,53,141,9.66E-05
Microbacterium sp. XT11,367477,S,68,67,135,9.25E-05
Microbacterium sp. LKL04,912630,S,57,59,116,7.95E-05
Microbacterium chocolatum,84292,S,48,43,91,6.24E-05
Microbacterium testaceum,2033,S,40,35,75,5.14E-05
Microbacterium paraoxydans,199592,S,35,1454,1489,0.001020642
Microbacterium hominis,162426,S,32,42,74,5.07E-05
Microbacterium sp. str. 'China',2103230,S,20,845,865,0.000592918
Microbacterium paludicola,300019,S,15,13,28,1.92E-05
Microbacterium sp. No. 7,1714373,S,13,18,31,2.12E-05
Microbacterium sp. PAMC 28756,1795053,S,10,118,128,8.77E-05
Aurantimicrobium sp. MWH-Mo1,1987356,S,304,462,766,0.000525058
Frondihabitans sp. 762G35,1446794,S,321,392,713,0.000488729
Frondihabitans sp. PAMC 28766,1795630,S,25,19,44,3.02E-05
Agrococcus carbonis,684552,S,132,240,372,0.000254989
Agrococcus jejuensis,399736,S,86,108,194,0.000132978
Microterricola viridarii,412690,S,251,354,605,0.0004147
Leifsonia xyli,1575,S,121,131,252,0.000172735
Leifsonia sp. 21MFCrub1.1,1798223,S,16,71,87,5.96E-05
Mycetocola sp. CGMCC 1.16372,2079792,S,192,122,314,0.000215233
Microcella alkaliphila,279828,S,136,133,269,0.000184387
Rathayibacter tritici,33888,S,36,72,108,7.40E-05
Curtobacterium pusillum,69373,S,29,47,76,5.21E-05
Agromyces aureus,453304,S,25,36,61,4.18E-05
Agromyces sp. 30A,2080742,S,18,26,44,3.02E-05
Agromyces flavus,589382,S,15,21,36,2.47E-05
Clavibacter michiganensis,28447,S,57,45,102,6.99E-05
Salinibacterium sp. CGMCC 1.16371,2079791,S,48,23,71,4.87E-05
Pontimonas salivibrio,1159327,S,47,6,53,3.63E-05
Plantibacter flavus,150123,S,28,30,58,3.98E-05
Humibacter sp. BT305,2282656,S,18,1515,1533,0.001050802
Serinicoccus sp. JLT9,1758689,S,355,243,598,0.000409902
Janibacter indicus,857417,S,271,201,472,0.000323535
