name,rank,species
Klebsiella pneumoniae,species,Klebsiella pneumoniae
Kocuria flava,species,Kocuria flava
Kocuria palustris,species,Kocuria palustris
Kocuria turfanensis,species,Kocuria turfanensis
Kordia sp. SMS9,species,Kordia sp. SMS9
Loigolactobacillus backii,species,Lactobacillus backii
Lactobacillus helveticus,species,Lactobacillus helveticus
Lactococcus lactis,species,Lactococcus lactis
Lactococcus raffinolactis,species,Lactococcus raffinolactis
Lacunisphaera limnophila,species,Lacunisphaera limnophila
Lawsonella clevelandensis,species,Lawsonella clevelandensis
Leadbetterella byssophila,species,Leadbetterella byssophila
Legionella pneumophila,species,Legionella pneumophila
Legionella sainthelensi,species,Legionella sainthelensi
Leptolyngbya sp. NIES-3755,species,Leptolyngbya sp. NIES-3755
Leptolyngbya sp. PCC 7376,species,Leptolyngbya sp. PCC 7376
Leptothrix cholodnii,species,Leptothrix cholodnii
Leptotrichia buccalis,species,Leptotrichia buccalis
Leptotrichia sp. oral taxon 498,species,Leptotrichia sp. oral taxon 498
Limnohabitans sp. 103DPR2,species,Limnohabitans sp. 103DPR2
Limnohabitans sp. 63ED37-2,species,Limnohabitans sp. 63ED37-2
Listeria monocytogenes,species,Listeria monocytogenes
Lobaria pulmonaria,species,Lobaria pulmonaria
Luteitalea pratensis,species,Luteitalea pratensis
Urechidicola croceus,species,Lutibacter sp. LPB0138
Lysinibacillus sphaericus,species,Lysinibacillus sphaericus
Marivirga tractuosa,species,Marivirga tractuosa
Pseudoduganella armeniaca,species,Massilia armeniaca
Massilia putida,species,Massilia putida
Massilia sp. NR 4-1,species,Massilia sp. NR 4-1
Massilia sp. WG5,species,Massilia sp. WG5
Massilia sp. YMA4,species,Massilia sp. YMA4
Massilia timonae,species,Massilia timonae
Massilia violaceinigra,species,Massilia violaceinigra
Megamonas hypermegale,species,Megamonas hypermegale
Pulveribacter suum,species,Melaminivora sp. SC2-7
Melaminivora sp. SC2-9,species,Melaminivora sp. SC2-9
Melioribacter roseus,species,Melioribacter roseus
Methylibium petroleiphilum,species,Methylibium petroleiphilum
Methylobacterium phyllosphaerae,species,Methylobacterium phyllosphaerae
Methylobacterium durans,species,Methylobacterium sp. 17SD2-17
Methylobacterium sp. AMS5,species,Methylobacterium sp. AMS5
Methylobacterium sp. C1,species,Methylobacterium sp. C1
Methylobacterium sp. DM1,species,Methylobacterium sp. DM1
Methylobacterium sp. XJLW,species,Methylobacterium sp. XJLM
Methylomicrobium album,species,Methylomicrobium album
Methylomonas denitrificans,species,Methylomonas denitrificans
Methylophilus sp. TWE2,species,Methylophilus sp. TWE2
Methylorubrum extorquens,species,Methylorubrum extorquens
Methylotenera mobilis,species,Methylotenera mobilis
Methylotenera versatilis,species,Methylotenera versatilis
Microbacterium paraoxydans,species,Microbacterium paraoxydans
Microbacterium pygmaeum,species,Microbacterium pygmaeum
Microbacterium sp. PAMC 28756,species,Microbacterium sp. PAMC 28756
Microbacterium sp. PM5,species,Microbacterium sp. PM5
Microbacterium sp. str. 'China',species,Microbacterium sp. str. 'China'
Microcella alkaliphila,species,Microcella alkaliphila
Micrococcus luteus,species,Micrococcus luteus
Allocoleopsis franciscana,species,Microcoleus sp. PCC 7113
Microvirga sp. 17 mud 1-3,species,Microvirga sp. 17 mud 1-3
Mitsuaria sp. 7,species,Mitsuaria sp. 7
Modestobacter marinus,species,Modestobacter marinus
Moraxella bovoculi,species,Moraxella bovoculi
Moraxella osloensis,species,Moraxella osloensis
Aquirhabdus parva,species,Moraxellaceae bacterium HYN0046
Morganella morganii,species,Morganella morganii
Mucilaginibacter sp. PAMC 26640,species,Mucilaginibacter sp. PAMC 26640
Murine leukemia virus,species,Murine leukemia virus
Mus musculus mobilized endogenous polytropic provirus,species,Mus musculus mobilized endogenous polytropic provirus
Mycobacterium tuberculosis,species,Mycobacterium tuberculosis
Mycolicibacterium neoaurum,species,Mycolicibacterium neoaurum
Mycoplasmopsis bovis,species,Mycoplasma bovis
Myxococcus fulvus,species,Myxococcus fulvus
Neisseria gonorrhoeae,species,Neisseria gonorrhoeae
Neisseria meningitidis,species,Neisseria meningitidis
Aquella oligotrophica,species,Neisseriaceae bacterium DSM 100970
Niabella ginsenosidivorans,species,Niabella ginsenosidivorans
Niabella soli,species,Niabella soli
Niastella koreensis,species,Niastella koreensis
Nitrosomonas communis,species,Nitrosomonas communis
Nitrosomonas sp. Is79A3,species,Nitrosomonas sp. Is79A3
Nitrospira defluvii,species,Nitrospira defluvii
Nitrospira japonica,species,Nitrospira japonica
Nitrospira moscoviensis,species,Nitrospira moscoviensis
Nocardioides dokdonensis,species,Nocardioides dokdonensis
Nocardioides houyundeii,species,Nocardioides sp. 78
Nocardioides sp. CF8,species,Nocardioides sp. CF8
Nocardioides sp. JS614,species,Nocardioides sp. JS614
Nonomuraea sp. ATCC 55076,species,Nonomuraea sp. ATCC 55076
Nostoc flagelliforme,species,Nostoc flagelliforme
Nostoc sp. 'Peltigera membranacea cyanobiont' N6,species,Nostoc sp. 'Peltigera membranacea cyanobiont' N6
Nostoc sphaeroides,species,Nostoc sphaeroides
Novosphingobium aromaticivorans,species,Novosphingobium aromaticivorans
Novosphingobium sp. THN1,species,Novosphingobium sp. THN1
Thiopseudomonas alkaliphila,species,Oblitimonas alkaliphila
Brucella anthropi,species,Ochrobactrum anthropi
Odoribacter splanchnicus,species,Odoribacter splanchnicus
Oligella urethralis,species,Oligella urethralis
Opitutus sp. GAS368,species,Opitutus sp. GAS368
Opitutus terrae,species,Opitutus terrae
Ornithobacterium rhinotracheale,species,Ornithobacterium rhinotracheale
Oscillatoria acuminata,species,Oscillatoria acuminata
Oscillatoria nigro-viridis,species,Oscillatoria nigro-viridis
Leptolyngbyaceae cyanobacterium JSC-12,species,Oscillatoriales cyanobacterium JSC-12
Ottowia oryzae,species,Ottowia oryzae
Ottowia sp. oral taxon 894,species,Ottowia sp. oral taxon 894
Paenibacillus polymyxa,species,Paenibacillus polymyxa
Paeniclostridium sordellii,species,Paeniclostridium sordellii
Pajaroellobacter abortibovis,species,Pajaroellobacter abortibovis
Paludisphaera borealis,species,Paludisphaera borealis
Parabacteroides sp. CT06,species,Parabacteroides sp. CT06
Parachlamydia acanthamoebae,species,Parachlamydia acanthamoebae
Paracoccus aminovorans,species,Paracoccus aminovorans
Paracoccus jeotgali,species,Paracoccus sp. CBA4604
Paracoccus yeei,species,Paracoccus yeei
Parageobacillus thermoglucosidasius,species,Parageobacillus thermoglucosidasius
Parvibaculum lavamentivorans,species,Parvibaculum lavamentivorans
Pasteurella multocida,species,Pasteurella multocida
Paucibacter sp. KCTC 42545,species,Paucibacter sp. KCTC 42545
Pedobacter cryoconitis,species,Pedobacter cryoconitis
Pelobacter propionicus,species,Pelobacter propionicus
Pelosinus fermentans,species,Pelosinus fermentans
Peptoniphilus sp. ING2-D1G,species,Peptoniphilus sp. ING2-D1G
Phenylobacterium parvum,species,Phenylobacterium sp. HYN0004
Phenylobacterium zucineum,species,Phenylobacterium zucineum
Phycisphaera mikurensis,species,Phycisphaera mikurensis
Pirellula staleyi,species,Pirellula staleyi
Planctomyces sp. SH-PL14,species,Planctomyces sp. SH-PL14
Planctomyces sp. SH-PL62,species,Planctomyces sp. SH-PL62
Planctopirus limnophila,species,Planctopirus limnophila
Polaromonas naphthalenivorans,species,Polaromonas naphthalenivorans
Polaromonas sp. JS666,species,Polaromonas sp. JS666
Schlegelella brevitalea,species,Polyangium brachysporum
Schlegelella brevitalea,species,Polyangium brachysporum
Polynucleobacter necessarius,species,Polynucleobacter necessarius
Porphyromonas gingivalis,species,Porphyromonas gingivalis
Prevotella denticola,species,Prevotella denticola
Prevotella intermedia,species,Prevotella intermedia
Prevotella melaninogenica,species,Prevotella melaninogenica
Prochlorococcus marinus,species,Prochlorococcus marinus
Aquirufa nivalisilvae,species,Pseudarcicella sp. HME7025
Arcobacter suis,species,Pseudoarcobacter suis
Paraflavitalea soli,species,Pseudoflavitalea sp. 5GH32-13
Pseudomonas aeruginosa,species,Pseudomonas aeruginosa
Pseudomonas alcaligenes,species,Pseudomonas alcaligenes
Pseudomonas fragi,species,Pseudomonas fragi
Pseudomonas mendocina,species,Pseudomonas mendocina
Pseudomonas protegens,species,Pseudomonas protegens
Pseudomonas putida,species,Pseudomonas putida
Pseudomonas sp. phDV1,species,Pseudomonas sp. phDV1
Pseudomonas sp. SWI6,species,Pseudomonas sp. SWI6
Pseudomonas sp. WCS374,species,Pseudomonas sp. WCS374
Pseudomonas tolaasii,species,Pseudomonas tolaasii
Pseudopedobacter saltans,species,Pseudopedobacter saltans
Pseudoxanthomonas suwonensis,species,Pseudoxanthomonas suwonensis
Psychrobacter alimentarius,species,Psychrobacter alimentarius
Psychrobacter cryohalolentis,species,Psychrobacter cryohalolentis
Psychrobacter sp. AntiMn-1,species,Psychrobacter sp. AntiMn-1
Psychrobacter sp. DAB_AL43B,species,Psychrobacter sp. DAB_AL43B
Psychrobacter sp. P11F6,species,Psychrobacter sp. P11F6
Psychrobacter sp. P2G3,species,Psychrobacter sp. P2G3
Psychrobacter sp. PRwf-1,species,Psychrobacter sp. PRwf-1
Psychrobacter sp. YP14,species,Psychrobacter sp. YP14
Ralstonia pickettii,species,Ralstonia pickettii
Ralstonia solanacearum,species,Ralstonia solanacearum
Ramlibacter tataouinensis,species,Ramlibacter tataouinensis
Renibacterium salmoninarum,species,Renibacterium salmoninarum
Rhizobacter gummiphilus,species,Rhizobacter gummiphilus
Pseudorhizobium banfieldiae,species,Rhizobium sp. NT-26
Rhizorhabdus dicambivorans,species,Rhizorhabdus dicambivorans
Rhodobacter sp. LPB0142,species,Rhodobacter sp. LPB0142
Cereibacter sphaeroides,species,Rhodobacter sphaeroides
Rhodobacteraceae bacterium,species,Rhodobacteraceae bacterium
Rhodobacteraceae bacterium QY30,species,Rhodobacteraceae bacterium QY30
Rhodococcus aetherivorans,species,Rhodococcus aetherivorans
Rhodococcus qingshengii,species,Rhodococcus qingshengii
Rhodococcus ruber,species,Rhodococcus ruber
Rhodococcus sp. 008,species,Rhodococcus sp. 008
Rhodococcus sp. BH4,species,Rhodococcus sp. BH4
Rhodococcus sp. p52,species,Rhodococcus sp. p52
Rhodococcus sp. YL-1,species,Rhodococcus sp. YL-1
Rhodocyclaceae bacterium,species,Rhodocyclaceae bacterium
Rhodoferax antarcticus,species,Rhodoferax antarcticus
Rhodoferax ferrireducens,species,Rhodoferax ferrireducens
Rhodoferax koreense,species,Rhodoferax koreense
Rhodoferax saidenbachensis,species,Rhodoferax saidenbachensis
Rhodoluna lacicola,species,Rhodoluna lacicola
Rhodomicrobium vannielii,species,Rhodomicrobium vannielii
Rhodopirellula baltica,species,Rhodopirellula baltica
Rhodoplanes sp. Z2-YC6860,species,Rhodoplanes sp. Z2-YC6860
Rhodopseudomonas palustris,species,Rhodopseudomonas palustris
Riemerella anatipestifer,species,Riemerella anatipestifer
Roseateles depolymerans,species,Roseateles depolymerans
Roseomonas sp. FDAARGOS_362,species,Roseomonas sp. FDAARGOS_362
Rothia mucilaginosa,species,Rothia mucilaginosa
Rubinisphaera brasiliensis,species,Rubinisphaera brasiliensis
Rubrivivax gelatinosus,species,Rubrivivax gelatinosus
Ruminococcus champanellensis,species,Ruminococcus champanellensis
Salmonella enterica,species,Salmonella enterica
Sandaracinus amylolyticus,species,Sandaracinus amylolyticus
Saprospira grandis,species,Saprospira grandis
Scytonema sp. HK-05,species,Scytonema sp. HK-05
Selenomonas sp. oral taxon 136,species,Selenomonas sp. oral taxon 136
Shewanella baltica,species,Shewanella baltica
Shinella sp. HZN7,species,Shinella sp. HZN7
Siansivirga zeaxanthinifaciens,species,Siansivirga zeaxanthinifaciens
Sideroxydans lithotrophicus,species,Sideroxydans lithotrophicus
Simplicispira suum,species,Simplicispira suum
Singulisphaera acidiphila,species,Singulisphaera acidiphila
Sneathia vaginalis,species,Sneathia amnii
Solimonas sp. K1W22B-7,species,Solimonas sp. K1W22B-7
Sorangium cellulosum,species,Sorangium cellulosum
Sphingobacterium mizutaii,species,Sphingobacterium mizutaii
Sphingobacterium sp. ML3W,species,Sphingobacterium sp. ML3W
Sphingobium cloacae,species,Sphingobium cloacae
Sphingobium sp. MI1205,species,Sphingobium sp. MI1205
Sphingobium sp. RAC03,species,Sphingobium sp. RAC03
Sphingobium sp. TKS,species,Sphingobium sp. TKS
Sphingobium sp. YBL2,species,Sphingobium sp. YBL2
Sphingobium yanoikuyae,species,Sphingobium yanoikuyae
Sphingomonas hengshuiensis,species,Sphingomonas hengshuiensis
Sphingomonas koreensis,species,Sphingomonas koreensis
Sphingomonas melonis,species,Sphingomonas melonis
Sphingomonas panacis,species,Sphingomonas panacis
Sphingomonas sanxanigenens,species,Sphingomonas sanxanigenens
Sphingomonas sp. FARSPH,species,Sphingomonas sp. FARSPH
Tardibacter chloracetimidivorans,species,Sphingomonas sp. JJ-A5
Sphingomonas sp. KC8,species,Sphingomonas sp. KC8
Sphingomonas sp. LK11,species,Sphingomonas sp. LK11
Sphingomonas sp. LM7,species,Sphingomonas sp. LM7
Sphingomonas sp. MM-1,species,Sphingomonas sp. MM-1
Sphingomonas sp. NIC1,species,Sphingomonas sp. NIC1
Sphingomonas taxi,species,Sphingomonas taxi
Sphingopyxis fribergensis,species,Sphingopyxis fribergensis
Sphingopyxis granuli,species,Sphingopyxis granuli
Sphingorhabdus lutea,species,Sphingopyxis sp. LPB0140
Spirosoma pollinicola,species,Spirosoma pollinicola
Stanieria sp. NIES-3757,species,Stanieria sp. NIES-3757
Staphylococcus aureus,species,Staphylococcus aureus
Staphylococcus epidermidis,species,Staphylococcus epidermidis
Stenotrophomonas acidaminiphila,species,Stenotrophomonas acidaminiphila
Stenotrophomonas maltophilia,species,Stenotrophomonas maltophilia
Stenotrophomonas sp. Pemsol,species,Stenotrophomonas sp. Pemsol
Steroidobacter denitrificans,species,Steroidobacter denitrificans
Stigmatella aurantiaca,species,Stigmatella aurantiaca
Streptococcus constellatus,species,Streptococcus constellatus
Streptococcus infantarius,species,Streptococcus infantarius
Streptococcus pneumoniae,species,Streptococcus pneumoniae
Streptococcus pyogenes,species,Streptococcus pyogenes
Streptomyces lividans,species,Streptomyces lividans
Sulfitobacter alexandrii,species,Sulfitobacter sp. AM1-D1
Sulfuricurvum kujiense,species,Sulfuricurvum kujiense
Sulfuritalea hydrogenivorans,species,Sulfuritalea hydrogenivorans
Synechococcus sp. KORDI-49,species,Synechococcus sp. KORDI-49
Synechococcus sp. PCC 6312,species,Synechococcus sp. PCC 6312
Synechococcus sp. PCC 7502,species,Synechococcus sp. PCC 7502
Synechococcus sp. RCC307,species,Synechococcus sp. RCC307
Synechococcus elongatus,species,Synechococcus sp. UTEX 2973
Syntrophobacter fumaroxidans,species,Syntrophobacter fumaroxidans
Tannerella forsythia,species,Tannerella forsythia
Tannerella serpentiformis,species,Tannerella sp. oral taxon HOT-286
Taylorella equigenitalis,species,Taylorella equigenitalis
Thauera humireducens,species,Thauera humireducens
Thauera sp. K11,species,Thauera sp. K11
Thermogutta terrifontis,species,Thermogutta terrifontis
Thiobacillus denitrificans,species,Thiobacillus denitrificans
Tolumonas auensis,species,Tolumonas auensis
Treponema pallidum,species,Treponema pallidum
Treponema sp. OMZ 838,species,Treponema sp. OMZ 838
Trichodesmium erythraeum,species,Trichodesmium erythraeum
Trueperella pyogenes,species,Trueperella pyogenes
Tumebacillus algifaecis,species,Tumebacillus algifaecis
Turicibacter sp. H121,species,Turicibacter sp. H121
Turneriella parva,species,Turneriella parva
Variovorax boronicumulans,species,Variovorax boronicumulans
Variovorax paradoxus,species,Variovorax paradoxus
Variovorax sp. HW608,species,Variovorax sp. HW608
Variovorax sp. PAMC 28711,species,Variovorax sp. PAMC 28711
Variovorax sp. PMC12,species,Variovorax sp. PMC12
Veillonella parvula,species,Veillonella parvula
Verminephrobacter eiseniae,species,Verminephrobacter eiseniae
Verrucomicrobia bacterium,species,Verrucomicrobia bacterium
Verrucomicrobia bacterium IMCC26134,species,Verrucomicrobia bacterium IMCC26134
Verrucomicrobium sp. GAS474,species,Verrucomicrobium sp. GAS474
Verrucomicrobium spinosum,species,Verrucomicrobium spinosum
Vibrio cholerae,species,Vibrio cholerae
Vibrio vulnificus,species,Vibrio vulnificus
Vitreoscilla filiformis,species,Vitreoscilla filiformis
Weeksella virosa,species,Weeksella virosa
Winogradskyella sp. PG-2,species,Winogradskyella sp. PG-2
Xanthobacter autotrophicus,species,Xanthobacter autotrophicus
Xanthomonas citri,species,Xanthomonas citri
Yersinia pestis,species,Yersinia pestis
Yoonia vestfoldensis,species,Yoonia vestfoldensis
Zoogloeaceae bacteirum Par-f-2,species,Zoogloeaceae bacteirum Par-f-2
Acinetobacter calcoaceticus/baumannii complex,species group,Acinetobacter baumannii
Bacillus cereus group,species group,Bacillus anthracis
Bacillus subtilis group,species group,Bacillus atrophaeus
Bacillus cereus group,species group,Bacillus cereus
Bacillus subtilis group,species group,Bacillus subtilis
Bacillus cereus group,species group,Bacillus thuringiensis
Bacillus subtilis group,species group,Bacillus velezensis
Burkholderia cepacia complex,species group,Burkholderia cenocepacia
Burkholderia cepacia complex,species group,Burkholderia cepacia
pseudomallei group,species group,Burkholderia mallei
pseudomallei group,species group,Burkholderia pseudomallei
pseudomallei group,species group,Burkholderia thailandensis
16SrX (Apple proliferation group),species group,Candidatus Phytoplasma mali
Enterobacter cloacae complex,species group,Enterobacter cloacae
Mycobacterium tuberculosis complex,species group,Mycobacterium tuberculosis
Pseudomonas aeruginosa group,species group,Pseudomonas aeruginosa
Pseudomonas aeruginosa group,species group,Pseudomonas alcaligenes
Pseudomonas chlororaphis group,species group,Pseudomonas fragi
Pseudomonas aeruginosa group,species group,Pseudomonas mendocina
Pseudomonas fluorescens group,species group,Pseudomonas protegens
Pseudomonas putida group,species group,Pseudomonas putida
Pseudomonas fluorescens group,species group,Pseudomonas tolaasii
Rhodococcus erythropolis group,species group,Rhodococcus qingshengii
Stenotrophomonas maltophilia group,species group,Stenotrophomonas maltophilia
Streptococcus anginosus group,species group,Streptococcus constellatus
Xanthomonas citri group,species group,Xanthomonas citri
Yersinia pseudotuberculosis complex,species group,Yersinia pestis
Bacillus amyloliquefaciens group,species subgroup,Bacillus velezensis
Allocoleopsis franciscana PCC 7113,strain,Microcoleus sp. PCC 7113
Synechococcus elongatus PCC 6301,strain,Synechococcus sp. UTEX 2973
Oscillatoriophycideae,subclass,Candidatus Atelocyanobacterium thalassa
Oscillatoriophycideae,subclass,Chondrocystis sp. NIES-4102
Oscillatoriophycideae,subclass,Crinalium epipsammum
Oscillatoriophycideae,subclass,Geminocystis sp. NIES-3708
Oscillatoriophycideae,subclass,Halothece sp. PCC 7418
Lecanoromycetidae,subclass,Lobaria pulmonaria
Oscillatoriophycideae,subclass,Microcoleus sp. PCC 7113
Oscillatoriophycideae,subclass,Oscillatoria acuminata
Oscillatoriophycideae,subclass,Oscillatoria nigro-viridis
Oscillatoriophycideae,subclass,Trichodesmium erythraeum
Orthoretrovirinae,subfamily,Baboon endogenous virus
Orthoretrovirinae,subfamily,Murine leukemia virus
Orthoretrovirinae,subfamily,Mus musculus mobilized endogenous polytropic provirus
Dikarya,subkingdom,Lobaria pulmonaria
Cystobacterineae,suborder,Anaeromyxobacter sp. Fw109-5
Sorangiineae,suborder,Chondromyces crocatus
Cystobacterineae,suborder,Corallococcus coralloides
Nannocystineae,suborder,Haliangium ochraceum
Peltigerineae,suborder,Lobaria pulmonaria
Cystobacterineae,suborder,Myxococcus fulvus
Sorangiineae,suborder,Pajaroellobacter abortibovis
Sorangiineae,suborder,Sandaracinus amylolyticus
Sorangiineae,suborder,Sorangium cellulosum
Cystobacterineae,suborder,Stigmatella aurantiaca
delta/epsilon subdivisions,subphylum,Aliiarcobacter skirrowii
delta/epsilon subdivisions,subphylum,Anaeromyxobacter sp. Fw109-5
delta/epsilon subdivisions,subphylum,Campylobacter concisus
delta/epsilon subdivisions,subphylum,Campylobacter gracilis
delta/epsilon subdivisions,subphylum,Campylobacter jejuni
delta/epsilon subdivisions,subphylum,Chondromyces crocatus
delta/epsilon subdivisions,subphylum,Corallococcus coralloides
delta/epsilon subdivisions,subphylum,Desulfomicrobium baculatum
delta/epsilon subdivisions,subphylum,Desulfovibrio alaskensis
delta/epsilon subdivisions,subphylum,Desulfovibrio vulgaris
delta/epsilon subdivisions,subphylum,Geoalkalibacter subterraneus
delta/epsilon subdivisions,subphylum,Geobacter anodireducens
delta/epsilon subdivisions,subphylum,Haliangium ochraceum
delta/epsilon subdivisions,subphylum,Helicobacter pylori
Pezizomycotina,subphylum,Lobaria pulmonaria
delta/epsilon subdivisions,subphylum,Myxococcus fulvus
delta/epsilon subdivisions,subphylum,Pajaroellobacter abortibovis
delta/epsilon subdivisions,subphylum,Pelobacter propionicus
delta/epsilon subdivisions,subphylum,Pseudoarcobacter suis
delta/epsilon subdivisions,subphylum,Sandaracinus amylolyticus
delta/epsilon subdivisions,subphylum,Sorangium cellulosum
delta/epsilon subdivisions,subphylum,Stigmatella aurantiaca
delta/epsilon subdivisions,subphylum,Sulfuricurvum
delta/epsilon subdivisions,subphylum,Sulfuricurvum kujiense
delta/epsilon subdivisions,subphylum,Syntrophobacter fumaroxidans
Bacteria,superkingdom,Acaryochloris marina
Bacteria,superkingdom,Acetobacter pomorum
Bacteria,superkingdom,Acidimicrobium ferrooxidans
Bacteria,superkingdom,Acidovorax avenae
Bacteria,superkingdom,Acidovorax carolinensis
Bacteria,superkingdom,Acidovorax ebreus
Bacteria,superkingdom,Acidovorax sp. JS42
Bacteria,superkingdom,Acidovorax sp. KKS102
Bacteria,superkingdom,Acidovorax sp. T1
Bacteria,superkingdom,Acinetobacter
Bacteria,superkingdom,Acinetobacter baumannii
Bacteria,superkingdom,Acinetobacter haemolyticus
Bacteria,superkingdom,Acinetobacter indicus
Bacteria,superkingdom,Acinetobacter johnsonii
Bacteria,superkingdom,Acinetobacter junii
Bacteria,superkingdom,Acinetobacter lwoffii
Bacteria,superkingdom,Acinetobacter schindleri
Bacteria,superkingdom,Acinetobacter sp. ACNIH1
Bacteria,superkingdom,Acinetobacter sp. NCu2D-2
Bacteria,superkingdom,Acinetobacter sp. SWBY1
Bacteria,superkingdom,Acinetobacter sp. TTH0-4
Bacteria,superkingdom,Acinetobacter sp. WCHA45
Bacteria,superkingdom,Acinetobacter sp. WCHAc010034
Bacteria,superkingdom,Actinobacteria bacterium IMCC26256
Bacteria,superkingdom,Actinomyces hongkongensis
Bacteria,superkingdom,Actinomyces oris
Bacteria,superkingdom,Actinoplanes derwentensis
Bacteria,superkingdom,Actinoplanes sp. SE50
Bacteria,superkingdom,Actinoplanes sp. SE50/110
Bacteria,superkingdom,Actinopolyspora erythraea
Bacteria,superkingdom,Aerococcus urinaehominis
Bacteria,superkingdom,Aeromonas hydrophila
Bacteria,superkingdom,Aeromonas salmonicida
Bacteria,superkingdom,Aeromonas sp. ASNIH4
Bacteria,superkingdom,Agrobacterium vitis
Bacteria,superkingdom,Agrococcus carbonis
Bacteria,superkingdom,Agrococcus jejuensis
Bacteria,superkingdom,Akkermansia muciniphila
Bacteria,superkingdom,Alcanivorax sp. N3-2A
Bacteria,superkingdom,Alicycliphilus denitrificans
Bacteria,superkingdom,Aliiarcobacter skirrowii
Bacteria,superkingdom,Alistipes shahii
Bacteria,superkingdom,Alkalitalea saponilacus
Bacteria,superkingdom,Altererythrobacter sp. B11
Bacteria,superkingdom,Alteromonas mediterranea
Bacteria,superkingdom,Anabaena cylindrica
Bacteria,superkingdom,Anabaena sp. WA102
Bacteria,superkingdom,Anaerococcus mediterraneensis
Bacteria,superkingdom,Anaerococcus prevotii
Bacteria,superkingdom,Anaerolinea thermophila
Bacteria,superkingdom,Anaeromyxobacter sp. Fw109-5
Bacteria,superkingdom,Anaerostipes hadrus
Bacteria,superkingdom,Aquabacterium olei
Bacteria,superkingdom,Aquaspirillum sp. LM1
Bacteria,superkingdom,Arachidicoccus sp. BS20
Bacteria,superkingdom,Arachidicoccus sp. KIS59-12
Bacteria,superkingdom,Arcanobacterium haemolyticum
Bacteria,superkingdom,Arenibacter algicola
Bacteria,superkingdom,Aromatoleum aromaticum
Bacteria,superkingdom,Arthrobacter sp. Rue61a
Bacteria,superkingdom,Arthrobacter sp. YC-RL1
Bacteria,superkingdom,Asticcacaulis excentricus
Bacteria,superkingdom,Aurantimicrobium sp. MWH-Mo1
Bacteria,superkingdom,Azoarcus communis
Bacteria,superkingdom,Azoarcus sp. CIB
Bacteria,superkingdom,Azospira oryzae
Viruses,superkingdom,Baboon endogenous virus
Bacteria,superkingdom,Bacillus anthracis
Bacteria,superkingdom,Bacillus atrophaeus
Bacteria,superkingdom,Bacillus cereus
Bacteria,superkingdom,Bacillus sp. FJAT-14266
Bacteria,superkingdom,Bacillus sp. Lzh-5
Bacteria,superkingdom,Bacillus subtilis
Bacteria,superkingdom,Bacillus thuringiensis
Bacteria,superkingdom,Bacillus velezensis
Bacteria,superkingdom,Bacteriovorax stolpii
Bacteria,superkingdom,Bacteroides dorei
Bacteria,superkingdom,Bacteroides fragilis
Bacteria,superkingdom,Bacteroides ovatus
Bacteria,superkingdom,Bacteroides salanitronis
Bacteria,superkingdom,Bacteroides vulgatus
Bacteria,superkingdom,Barnesiella viscericola
Bacteria,superkingdom,Bartonella sp. 11B
Bacteria,superkingdom,Bartonella sp. Coyote22sub2
Bacteria,superkingdom,Bdellovibrio bacteriovorus
Bacteria,superkingdom,Bdellovibrio exovorus
Bacteria,superkingdom,Bernardetia litoralis
Bacteria,superkingdom,Betaproteobacteria bacterium GR16-43
Bacteria,superkingdom,Beutenbergia cavernae
Bacteria,superkingdom,Bifidobacterium animalis
Bacteria,superkingdom,Bifidobacterium dentium
Bacteria,superkingdom,Bifidobacterium longum
Bacteria,superkingdom,Blastococcus saxobsidens
Bacteria,superkingdom,Blautia sp. YL58
Bacteria,superkingdom,Bordetella parapertussis
Bacteria,superkingdom,Bordetella pertussis
Bacteria,superkingdom,Bosea sp. AS-1
Bacteria,superkingdom,Bradyrhizobiaceae bacterium SG-6C
Bacteria,superkingdom,Bradyrhizobium japonicum
Bacteria,superkingdom,Bradyrhizobium sp. 2 39S1MB
Bacteria,superkingdom,Bradyrhizobium sp. SK17
Bacteria,superkingdom,Brevefilum fermentans
Bacteria,superkingdom,Brevibacillus brevis
Bacteria,superkingdom,Brevibacterium linens
Bacteria,superkingdom,Brevundimonas diminuta
Bacteria,superkingdom,Brevundimonas naejangsanensis
Bacteria,superkingdom,Brevundimonas sp. DS20
Bacteria,superkingdom,Brevundimonas sp. GW460-12-10-14-LB2
Bacteria,superkingdom,Brevundimonas vesicularis
Bacteria,superkingdom,Brucella abortus
Bacteria,superkingdom,Brucella canis
Bacteria,superkingdom,Brucella melitensis
Bacteria,superkingdom,Burkholderia cenocepacia
Bacteria,superkingdom,Burkholderia cepacia
Bacteria,superkingdom,Burkholderia mallei
Bacteria,superkingdom,Burkholderia pseudomallei
Bacteria,superkingdom,Burkholderia sp. Bp7605
Bacteria,superkingdom,Burkholderia thailandensis
Bacteria,superkingdom,Burkholderiales bacterium JOSHI_001
Bacteria,superkingdom,Campylobacter concisus
Bacteria,superkingdom,Campylobacter gracilis
Bacteria,superkingdom,Campylobacter jejuni
Bacteria,superkingdom,Candidatus Accumulibacter phosphatis
Bacteria,superkingdom,Candidatus Atelocyanobacterium thalassa
Bacteria,superkingdom,Candidatus Liberibacter asiaticus
Bacteria,superkingdom,Candidatus Methylopumilus planktonicus
Bacteria,superkingdom,Candidatus Methylopumilus turicensis
Bacteria,superkingdom,Candidatus Phytoplasma mali
Bacteria,superkingdom,Candidatus Planktophila sulfonica
Bacteria,superkingdom,Candidatus Protochlamydia amoebophila
