name,rank,id,species
Betaproteobacteria,class,28216,Sulfuriferula sp. AH1
Nitrosomonadales,order,32003,Sulfuriferula sp. AH1
Sulfuricellaceae,family,2772226,Sulfuriferula sp. AH1
Sulfuriferula,genus,1778653,Sulfuriferula sp. AH1
unclassified Sulfuriferula,no rank,2637784,Sulfuriferula sp. AH1
Sulfuriferula sp. AH1,species,1985873,Sulfuriferula sp. AH1
cellular organisms,no rank,131567,Nitrosomonas communis
Bacteria,superkingdom,2,Nitrosomonas communis
Proteobacteria,phylum,1224,Nitrosomonas communis
Betaproteobacteria,class,28216,Nitrosomonas communis
Nitrosomonadales,order,32003,Nitrosomonas communis
Nitrosomonadaceae,family,206379,Nitrosomonas communis
Nitrosomonas,genus,914,Nitrosomonas communis
Nitrosomonas communis,species,44574,Nitrosomonas communis
cellular organisms,no rank,131567,Nitrosomonas sp. Is79A3
Bacteria,superkingdom,2,Nitrosomonas sp. Is79A3
Proteobacteria,phylum,1224,Nitrosomonas sp. Is79A3
Betaproteobacteria,class,28216,Nitrosomonas sp. Is79A3
Nitrosomonadales,order,32003,Nitrosomonas sp. Is79A3
Nitrosomonadaceae,family,206379,Nitrosomonas sp. Is79A3
Nitrosomonas,genus,914,Nitrosomonas sp. Is79A3
unclassified Nitrosomonas,no rank,2609265,Nitrosomonas sp. Is79A3
Nitrosomonas sp. Is79A3,species,261292,Nitrosomonas sp. Is79A3
cellular organisms,no rank,131567,Methylotenera versatilis
Bacteria,superkingdom,2,Methylotenera versatilis
Proteobacteria,phylum,1224,Methylotenera versatilis
Betaproteobacteria,class,28216,Methylotenera versatilis
Nitrosomonadales,order,32003,Methylotenera versatilis
Methylophilaceae,family,32011,Methylotenera versatilis
Methylotenera,genus,359407,Methylotenera versatilis
Methylotenera versatilis,species,1055487,Methylotenera versatilis
cellular organisms,no rank,131567,Methylotenera mobilis
Bacteria,superkingdom,2,Methylotenera mobilis
Proteobacteria,phylum,1224,Methylotenera mobilis
Betaproteobacteria,class,28216,Methylotenera mobilis
Nitrosomonadales,order,32003,Methylotenera mobilis
Methylophilaceae,family,32011,Methylotenera mobilis
Methylotenera,genus,359407,Methylotenera mobilis
Methylotenera mobilis,species,359408,Methylotenera mobilis
cellular organisms,no rank,131567,Candidatus Methylopumilus planktonicus
Bacteria,superkingdom,2,Candidatus Methylopumilus planktonicus
Proteobacteria,phylum,1224,Candidatus Methylopumilus planktonicus
Betaproteobacteria,class,28216,Candidatus Methylopumilus planktonicus
Nitrosomonadales,order,32003,Candidatus Methylopumilus planktonicus
Methylophilaceae,family,32011,Candidatus Methylopumilus planktonicus
Candidatus Methylopumilus,genus,1679002,Candidatus Methylopumilus planktonicus
Candidatus Methylopumilus planktonicus,species,1581557,Candidatus Methylopumilus planktonicus
cellular organisms,no rank,131567,Sulfuritalea hydrogenivorans
Bacteria,superkingdom,2,Sulfuritalea hydrogenivorans
Proteobacteria,phylum,1224,Sulfuritalea hydrogenivorans
Betaproteobacteria,class,28216,Sulfuritalea hydrogenivorans
Nitrosomonadales,order,32003,Sulfuritalea hydrogenivorans
Sterolibacteriaceae,family,2008793,Sulfuritalea hydrogenivorans
Sulfuritalea,genus,1054211,Sulfuritalea hydrogenivorans
Sulfuritalea hydrogenivorans,species,748811,Sulfuritalea hydrogenivorans
cellular organisms,no rank,131567,Methyloversatilis sp. RAC08
Bacteria,superkingdom,2,Methyloversatilis sp. RAC08
Proteobacteria,phylum,1224,Methyloversatilis sp. RAC08
Betaproteobacteria,class,28216,Methyloversatilis sp. RAC08
Nitrosomonadales,order,32003,Methyloversatilis sp. RAC08
Sterolibacteriaceae,family,2008793,Methyloversatilis sp. RAC08
Methyloversatilis,genus,378210,Methyloversatilis sp. RAC08
unclassified Methyloversatilis,no rank,2639971,Methyloversatilis sp. RAC08
Methyloversatilis sp. RAC08,species,1842540,Methyloversatilis sp. RAC08
cellular organisms,no rank,131567,Thiobacillus denitrificans
Bacteria,superkingdom,2,Thiobacillus denitrificans
Proteobacteria,phylum,1224,Thiobacillus denitrificans
Betaproteobacteria,class,28216,Thiobacillus denitrificans
Nitrosomonadales,order,32003,Thiobacillus denitrificans
Thiobacillaceae,family,2008790,Thiobacillus denitrificans
Thiobacillus,genus,919,Thiobacillus denitrificans
Thiobacillus denitrificans,species,36861,Thiobacillus denitrificans
cellular organisms,no rank,131567,Dechloromonas sp. HYN0024
Bacteria,superkingdom,2,Dechloromonas sp. HYN0024
Proteobacteria,phylum,1224,Dechloromonas sp. HYN0024
Betaproteobacteria,class,28216,Dechloromonas sp. HYN0024
Rhodocyclales,order,206389,Dechloromonas sp. HYN0024
Azonexaceae,family,2008795,Dechloromonas sp. HYN0024
Dechloromonas,genus,73029,Dechloromonas sp. HYN0024
unclassified Dechloromonas,no rank,2633351,Dechloromonas sp. HYN0024
Dechloromonas sp. HYN0024,species,2231055,Dechloromonas sp. HYN0024
cellular organisms,no rank,131567,Dechloromonas aromatica
Bacteria,superkingdom,2,Dechloromonas aromatica
Proteobacteria,phylum,1224,Dechloromonas aromatica
Betaproteobacteria,class,28216,Dechloromonas aromatica
Rhodocyclales,order,206389,Dechloromonas aromatica
Azonexaceae,family,2008795,Dechloromonas aromatica
Dechloromonas,genus,73029,Dechloromonas aromatica
Dechloromonas aromatica,species,259537,Dechloromonas aromatica
cellular organisms,no rank,131567,Thauera sp. K11
Bacteria,superkingdom,2,Thauera sp. K11
Proteobacteria,phylum,1224,Thauera sp. K11
Betaproteobacteria,class,28216,Thauera sp. K11
Rhodocyclales,order,206389,Thauera sp. K11
Zoogloeaceae,family,2008794,Thauera sp. K11
Thauera,genus,33057,Thauera sp. K11
unclassified Thauera,no rank,2609274,Thauera sp. K11
Thauera sp. K11,species,2005884,Thauera sp. K11
cellular organisms,no rank,131567,Azospira oryzae
Bacteria,superkingdom,2,Azospira oryzae
Proteobacteria,phylum,1224,Azospira oryzae
Betaproteobacteria,class,28216,Azospira oryzae
Rhodocyclales,order,206389,Azospira oryzae
Rhodocyclaceae,family,75787,Azospira oryzae
Azospira,genus,146937,Azospira oryzae
Azospira oryzae,species,146939,Azospira oryzae
cellular organisms,no rank,131567,Neisseria meningitidis
Bacteria,superkingdom,2,Neisseria meningitidis
Proteobacteria,phylum,1224,Neisseria meningitidis
Betaproteobacteria,class,28216,Neisseria meningitidis
Neisseriales,order,206351,Neisseria meningitidis
Neisseriaceae,family,481,Neisseria meningitidis
Neisseria,genus,482,Neisseria meningitidis
Neisseria meningitidis,species,487,Neisseria meningitidis
cellular organisms,no rank,131567,Neisseriaceae bacterium DSM 100970
Bacteria,superkingdom,2,Neisseriaceae bacterium DSM 100970
Proteobacteria,phylum,1224,Neisseriaceae bacterium DSM 100970
Betaproteobacteria,class,28216,Neisseriaceae bacterium DSM 100970
Neisseriales,order,206351,Neisseriaceae bacterium DSM 100970
Neisseriaceae,family,481,Neisseriaceae bacterium DSM 100970
Aquella,genus,2593687,Neisseriaceae bacterium DSM 100970
Aquella oligotrophica,species,2067065,Neisseriaceae bacterium DSM 100970
cellular organisms,no rank,131567,Vitreoscilla filiformis
Bacteria,superkingdom,2,Vitreoscilla filiformis
Proteobacteria,phylum,1224,Vitreoscilla filiformis
Betaproteobacteria,class,28216,Vitreoscilla filiformis
Neisseriales,order,206351,Vitreoscilla filiformis
Neisseriaceae,family,481,Vitreoscilla filiformis
Vitreoscilla,genus,59,Vitreoscilla filiformis
Vitreoscilla filiformis,species,63,Vitreoscilla filiformis
cellular organisms,no rank,131567,Candidatus Accumulibacter phosphatis
Bacteria,superkingdom,2,Candidatus Accumulibacter phosphatis
Proteobacteria,phylum,1224,Candidatus Accumulibacter phosphatis
Betaproteobacteria,class,28216,Candidatus Accumulibacter phosphatis
Betaproteobacteria incertae sedis,no rank,119066,Candidatus Accumulibacter phosphatis
Candidatus Accumulibacter,genus,327159,Candidatus Accumulibacter phosphatis
Candidatus Accumulibacter phosphatis,species,327160,Candidatus Accumulibacter phosphatis
cellular organisms,no rank,131567,Acinetobacter sp. TTH0-4
Bacteria,superkingdom,2,Acinetobacter sp. TTH0-4
Proteobacteria,phylum,1224,Acinetobacter sp. TTH0-4
Gammaproteobacteria,class,1236,Acinetobacter sp. TTH0-4
Moraxellales,order,2887326,Acinetobacter sp. TTH0-4
Moraxellaceae,family,468,Acinetobacter sp. TTH0-4
Acinetobacter,genus,469,Acinetobacter sp. TTH0-4
unclassified Acinetobacter,no rank,196816,Acinetobacter sp. TTH0-4
Acinetobacter sp. TTH0-4,species,1646498,Acinetobacter sp. TTH0-4
cellular organisms,no rank,131567,Acinetobacter lwoffii
Bacteria,superkingdom,2,Acinetobacter lwoffii
Proteobacteria,phylum,1224,Acinetobacter lwoffii
Gammaproteobacteria,class,1236,Acinetobacter lwoffii
Moraxellales,order,2887326,Acinetobacter lwoffii
Moraxellaceae,family,468,Acinetobacter lwoffii
Acinetobacter,genus,469,Acinetobacter lwoffii
Acinetobacter lwoffii,species,28090,Acinetobacter lwoffii
cellular organisms,no rank,131567,Acinetobacter baumannii
Bacteria,superkingdom,2,Acinetobacter baumannii
Proteobacteria,phylum,1224,Acinetobacter baumannii
Gammaproteobacteria,class,1236,Acinetobacter baumannii
Moraxellales,order,2887326,Acinetobacter baumannii
Moraxellaceae,family,468,Acinetobacter baumannii
Acinetobacter,genus,469,Acinetobacter baumannii
Acinetobacter calcoaceticus/baumannii complex,species group,909768,Acinetobacter baumannii
Acinetobacter baumannii,species,470,Acinetobacter baumannii
cellular organisms,no rank,131567,Acinetobacter johnsonii
Bacteria,superkingdom,2,Acinetobacter johnsonii
Proteobacteria,phylum,1224,Acinetobacter johnsonii
Gammaproteobacteria,class,1236,Acinetobacter johnsonii
Moraxellales,order,2887326,Acinetobacter johnsonii
Moraxellaceae,family,468,Acinetobacter johnsonii
Acinetobacter,genus,469,Acinetobacter johnsonii
Acinetobacter johnsonii,species,40214,Acinetobacter johnsonii
cellular organisms,no rank,131567,Acinetobacter schindleri
Bacteria,superkingdom,2,Acinetobacter schindleri
Proteobacteria,phylum,1224,Acinetobacter schindleri
Gammaproteobacteria,class,1236,Acinetobacter schindleri
Moraxellales,order,2887326,Acinetobacter schindleri
Moraxellaceae,family,468,Acinetobacter schindleri
Acinetobacter,genus,469,Acinetobacter schindleri
Acinetobacter schindleri,species,108981,Acinetobacter schindleri
cellular organisms,no rank,131567,Acinetobacter junii
Bacteria,superkingdom,2,Acinetobacter junii
Proteobacteria,phylum,1224,Acinetobacter junii
Gammaproteobacteria,class,1236,Acinetobacter junii
Moraxellales,order,2887326,Acinetobacter junii
Moraxellaceae,family,468,Acinetobacter junii
Acinetobacter,genus,469,Acinetobacter junii
Acinetobacter junii,species,40215,Acinetobacter junii
cellular organisms,no rank,131567,Psychrobacter sp. AntiMn-1
Bacteria,superkingdom,2,Psychrobacter sp. AntiMn-1
Proteobacteria,phylum,1224,Psychrobacter sp. AntiMn-1
Gammaproteobacteria,class,1236,Psychrobacter sp. AntiMn-1
Moraxellales,order,2887326,Psychrobacter sp. AntiMn-1
Moraxellaceae,family,468,Psychrobacter sp. AntiMn-1
Psychrobacter,genus,497,Psychrobacter sp. AntiMn-1
unclassified Psychrobacter,no rank,196806,Psychrobacter sp. AntiMn-1
Psychrobacter sp. AntiMn-1,species,1720344,Psychrobacter sp. AntiMn-1
cellular organisms,no rank,131567,Moraxellaceae bacterium HYN0046
Bacteria,superkingdom,2,Moraxellaceae bacterium HYN0046
Proteobacteria,phylum,1224,Moraxellaceae bacterium HYN0046
Gammaproteobacteria,class,1236,Moraxellaceae bacterium HYN0046
Moraxellales,order,2887326,Moraxellaceae bacterium HYN0046
Moraxellaceae,family,468,Moraxellaceae bacterium HYN0046
Aquirhabdus,genus,2824158,Moraxellaceae bacterium HYN0046
Aquirhabdus parva,species,2283318,Moraxellaceae bacterium HYN0046
cellular organisms,no rank,131567,Moraxella osloensis
Bacteria,superkingdom,2,Moraxella osloensis
Proteobacteria,phylum,1224,Moraxella osloensis
Gammaproteobacteria,class,1236,Moraxella osloensis
Moraxellales,order,2887326,Moraxella osloensis
Moraxellaceae,family,468,Moraxella osloensis
Moraxella,genus,475,Moraxella osloensis
Moraxella osloensis,species,34062,Moraxella osloensis
cellular organisms,no rank,131567,Moraxella catarrhalis
Bacteria,superkingdom,2,Moraxella catarrhalis
Proteobacteria,phylum,1224,Moraxella catarrhalis
Gammaproteobacteria,class,1236,Moraxella catarrhalis
Moraxellales,order,2887326,Moraxella catarrhalis
Moraxellaceae,family,468,Moraxella catarrhalis
Moraxella,genus,475,Moraxella catarrhalis
Moraxella catarrhalis,species,480,Moraxella catarrhalis
cellular organisms,no rank,131567,Pseudomonas
Bacteria,superkingdom,2,Pseudomonas
Proteobacteria,phylum,1224,Pseudomonas
Gammaproteobacteria,class,1236,Pseudomonas
Pseudomonadales,order,72274,Pseudomonas
Pseudomonadaceae,family,135621,Pseudomonas
Pseudomonas,genus,286,Pseudomonas
cellular organisms,no rank,131567,Pseudomonas putida
Bacteria,superkingdom,2,Pseudomonas putida
Proteobacteria,phylum,1224,Pseudomonas putida
Gammaproteobacteria,class,1236,Pseudomonas putida
Pseudomonadales,order,72274,Pseudomonas putida
Pseudomonadaceae,family,135621,Pseudomonas putida
Pseudomonas,genus,286,Pseudomonas putida
Pseudomonas putida group,species group,136845,Pseudomonas putida
Pseudomonas putida,species,303,Pseudomonas putida
cellular organisms,no rank,131567,Pseudomonas fluorescens
Bacteria,superkingdom,2,Pseudomonas fluorescens
Proteobacteria,phylum,1224,Pseudomonas fluorescens
Gammaproteobacteria,class,1236,Pseudomonas fluorescens
Pseudomonadales,order,72274,Pseudomonas fluorescens
Pseudomonadaceae,family,135621,Pseudomonas fluorescens
Pseudomonas,genus,286,Pseudomonas fluorescens
Pseudomonas fluorescens group,species group,136843,Pseudomonas fluorescens
Pseudomonas fluorescens,species,294,Pseudomonas fluorescens
cellular organisms,no rank,131567,Pseudomonas aeruginosa
Bacteria,superkingdom,2,Pseudomonas aeruginosa
Proteobacteria,phylum,1224,Pseudomonas aeruginosa
Gammaproteobacteria,class,1236,Pseudomonas aeruginosa
Pseudomonadales,order,72274,Pseudomonas aeruginosa
Pseudomonadaceae,family,135621,Pseudomonas aeruginosa
Pseudomonas,genus,286,Pseudomonas aeruginosa
Pseudomonas aeruginosa group,species group,136841,Pseudomonas aeruginosa
Pseudomonas aeruginosa,species,287,Pseudomonas aeruginosa
cellular organisms,no rank,131567,Pseudomonas chlororaphis
Bacteria,superkingdom,2,Pseudomonas chlororaphis
Proteobacteria,phylum,1224,Pseudomonas chlororaphis
Gammaproteobacteria,class,1236,Pseudomonas chlororaphis
Pseudomonadales,order,72274,Pseudomonas chlororaphis
Pseudomonadaceae,family,135621,Pseudomonas chlororaphis
Pseudomonas,genus,286,Pseudomonas chlororaphis
Pseudomonas chlororaphis group,species group,136842,Pseudomonas chlororaphis
Pseudomonas chlororaphis,species,587753,Pseudomonas chlororaphis
cellular organisms,no rank,131567,Halomonas sp. JS92-SW72
Bacteria,superkingdom,2,Halomonas sp. JS92-SW72
Proteobacteria,phylum,1224,Halomonas sp. JS92-SW72
Gammaproteobacteria,class,1236,Halomonas sp. JS92-SW72
Oceanospirillales,order,135619,Halomonas sp. JS92-SW72
Halomonadaceae,family,28256,Halomonas sp. JS92-SW72
Halomonas,genus,2745,Halomonas sp. JS92-SW72
unclassified Halomonas,no rank,2609666,Halomonas sp. JS92-SW72
Halomonas sp. JS92-SW72,species,2306583,Halomonas sp. JS92-SW72
cellular organisms,no rank,131567,Escherichia coli
Bacteria,superkingdom,2,Escherichia coli
Proteobacteria,phylum,1224,Escherichia coli
Gammaproteobacteria,class,1236,Escherichia coli
Enterobacterales,order,91347,Escherichia coli
Enterobacteriaceae,family,543,Escherichia coli
Escherichia,genus,561,Escherichia coli
Escherichia coli,species,562,Escherichia coli
cellular organisms,no rank,131567,Salmonella enterica
Bacteria,superkingdom,2,Salmonella enterica
Proteobacteria,phylum,1224,Salmonella enterica
Gammaproteobacteria,class,1236,Salmonella enterica
Enterobacterales,order,91347,Salmonella enterica
Enterobacteriaceae,family,543,Salmonella enterica
Salmonella,genus,590,Salmonella enterica
Salmonella enterica,species,28901,Salmonella enterica
cellular organisms,no rank,131567,Enterobacter cloacae
Bacteria,superkingdom,2,Enterobacter cloacae
Proteobacteria,phylum,1224,Enterobacter cloacae
Gammaproteobacteria,class,1236,Enterobacter cloacae
Enterobacterales,order,91347,Enterobacter cloacae
Enterobacteriaceae,family,543,Enterobacter cloacae
Enterobacter,genus,547,Enterobacter cloacae
Enterobacter cloacae complex,species group,354276,Enterobacter cloacae
Enterobacter cloacae,species,550,Enterobacter cloacae
cellular organisms,no rank,131567,Klebsiella pneumoniae
Bacteria,superkingdom,2,Klebsiella pneumoniae
Proteobacteria,phylum,1224,Klebsiella pneumoniae
Gammaproteobacteria,class,1236,Klebsiella pneumoniae
Enterobacterales,order,91347,Klebsiella pneumoniae
Enterobacteriaceae,family,543,Klebsiella pneumoniae
Klebsiella/Raoultella group,no rank,2890311,Klebsiella pneumoniae
Klebsiella,genus,570,Klebsiella pneumoniae
Klebsiella pneumoniae,species,573,Klebsiella pneumoniae
cellular organisms,no rank,131567,Buchnera aphidicola
Bacteria,superkingdom,2,Buchnera aphidicola
Proteobacteria,phylum,1224,Buchnera aphidicola
Gammaproteobacteria,class,1236,Buchnera aphidicola
Enterobacterales,order,91347,Buchnera aphidicola
Erwiniaceae,family,1903409,Buchnera aphidicola
Buchnera,genus,32199,Buchnera aphidicola
Buchnera aphidicola,species,9,Buchnera aphidicola
cellular organisms,no rank,131567,Yersinia pestis
Bacteria,superkingdom,2,Yersinia pestis
Proteobacteria,phylum,1224,Yersinia pestis
Gammaproteobacteria,class,1236,Yersinia pestis
Enterobacterales,order,91347,Yersinia pestis
Yersiniaceae,family,1903411,Yersinia pestis
Yersinia,genus,629,Yersinia pestis
Yersinia pseudotuberculosis complex,species group,1649845,Yersinia pestis
Yersinia pestis,species,632,Yersinia pestis
cellular organisms,no rank,131567,Pseudoxanthomonas suwonensis
Bacteria,superkingdom,2,Pseudoxanthomonas suwonensis
Proteobacteria,phylum,1224,Pseudoxanthomonas suwonensis
Gammaproteobacteria,class,1236,Pseudoxanthomonas suwonensis
Xanthomonadales,order,135614,Pseudoxanthomonas suwonensis
Xanthomonadaceae,family,32033,Pseudoxanthomonas suwonensis
Pseudoxanthomonas,genus,83618,Pseudoxanthomonas suwonensis
Pseudoxanthomonas suwonensis,species,314722,Pseudoxanthomonas suwonensis
cellular organisms,no rank,131567,Dokdonella koreensis
Bacteria,superkingdom,2,Dokdonella koreensis
Proteobacteria,phylum,1224,Dokdonella koreensis
Gammaproteobacteria,class,1236,Dokdonella koreensis
Xanthomonadales,order,135614,Dokdonella koreensis
Rhodanobacteraceae,family,1775411,Dokdonella koreensis
Dokdonella,genus,323413,Dokdonella koreensis
Dokdonella koreensis,species,323415,Dokdonella koreensis
cellular organisms,no rank,131567,Cellvibrio sp. PSBB023
Bacteria,superkingdom,2,Cellvibrio sp. PSBB023
Proteobacteria,phylum,1224,Cellvibrio sp. PSBB023
Gammaproteobacteria,class,1236,Cellvibrio sp. PSBB023
Cellvibrionales,order,1706369,Cellvibrio sp. PSBB023
Cellvibrionaceae,family,1706371,Cellvibrio sp. PSBB023
Cellvibrio,genus,10,Cellvibrio sp. PSBB023
unclassified Cellvibrio,no rank,2624793,Cellvibrio sp. PSBB023
Cellvibrio sp. PSBB023,species,1945512,Cellvibrio sp. PSBB023
cellular organisms,no rank,131567,Methylomonas denitrificans
Bacteria,superkingdom,2,Methylomonas denitrificans
Proteobacteria,phylum,1224,Methylomonas denitrificans
Gammaproteobacteria,class,1236,Methylomonas denitrificans
Methylococcales,order,135618,Methylomonas denitrificans
Methylococcaceae,family,403,Methylomonas denitrificans
Methylomonas,genus,416,Methylomonas denitrificans
Methylomonas denitrificans,species,1538553,Methylomonas denitrificans
cellular organisms,no rank,131567,Methylomicrobium album
Bacteria,superkingdom,2,Methylomicrobium album
Proteobacteria,phylum,1224,Methylomicrobium album
Gammaproteobacteria,class,1236,Methylomicrobium album
Methylococcales,order,135618,Methylomicrobium album
Methylococcaceae,family,403,Methylomicrobium album
Methylomicrobium,genus,39773,Methylomicrobium album
Methylomicrobium album,species,39775,Methylomicrobium album
cellular organisms,no rank,131567,Aeromonas salmonicida
Bacteria,superkingdom,2,Aeromonas salmonicida
Proteobacteria,phylum,1224,Aeromonas salmonicida
Gammaproteobacteria,class,1236,Aeromonas salmonicida
Aeromonadales,order,135624,Aeromonas salmonicida
Aeromonadaceae,family,84642,Aeromonas salmonicida
Aeromonas,genus,642,Aeromonas salmonicida
Aeromonas salmonicida,species,645,Aeromonas salmonicida
cellular organisms,no rank,131567,Tolumonas auensis
Bacteria,superkingdom,2,Tolumonas auensis
Proteobacteria,phylum,1224,Tolumonas auensis
Gammaproteobacteria,class,1236,Tolumonas auensis
Aeromonadales,order,135624,Tolumonas auensis
Aeromonadaceae,family,84642,Tolumonas auensis
Tolumonas,genus,43947,Tolumonas auensis
Tolumonas auensis,species,43948,Tolumonas auensis
cellular organisms,no rank,131567,Pasteurella multocida
Bacteria,superkingdom,2,Pasteurella multocida
Proteobacteria,phylum,1224,Pasteurella multocida
Gammaproteobacteria,class,1236,Pasteurella multocida
Pasteurellales,order,135625,Pasteurella multocida
Pasteurellaceae,family,712,Pasteurella multocida
Pasteurella,genus,745,Pasteurella multocida
Pasteurella multocida,species,747,Pasteurella multocida
cellular organisms,no rank,131567,Thiohalobacter thiocyanaticus
Bacteria,superkingdom,2,Thiohalobacter thiocyanaticus
Proteobacteria,phylum,1224,Thiohalobacter thiocyanaticus
Gammaproteobacteria,class,1236,Thiohalobacter thiocyanaticus
Chromatiales,order,135613,Thiohalobacter thiocyanaticus
Chromatiales incertae sedis,no rank,451214,Thiohalobacter thiocyanaticus
Thiohalobacter,genus,1273155,Thiohalobacter thiocyanaticus
Thiohalobacter thiocyanaticus,species,585455,Thiohalobacter thiocyanaticus
cellular organisms,no rank,131567,Steroidobacter denitrificans
Bacteria,superkingdom,2,Steroidobacter denitrificans
Proteobacteria,phylum,1224,Steroidobacter denitrificans
Gammaproteobacteria,class,1236,Steroidobacter denitrificans
Nevskiales,order,1775403,Steroidobacter denitrificans
Steroidobacteraceae,family,2689614,Steroidobacter denitrificans
Steroidobacter,genus,469322,Steroidobacter denitrificans
Steroidobacter denitrificans,species,465721,Steroidobacter denitrificans
cellular organisms,no rank,131567,Vibrio cholerae
Bacteria,superkingdom,2,Vibrio cholerae
Proteobacteria,phylum,1224,Vibrio cholerae
Gammaproteobacteria,class,1236,Vibrio cholerae
Vibrionales,order,135623,Vibrio cholerae
Vibrionaceae,family,641,Vibrio cholerae
Vibrio,genus,662,Vibrio cholerae
Vibrio cholerae,species,666,Vibrio cholerae
cellular organisms,no rank,131567,Vibrio vulnificus
Bacteria,superkingdom,2,Vibrio vulnificus
Proteobacteria,phylum,1224,Vibrio vulnificus
Gammaproteobacteria,class,1236,Vibrio vulnificus
Vibrionales,order,135623,Vibrio vulnificus
Vibrionaceae,family,641,Vibrio vulnificus
Vibrio,genus,662,Vibrio vulnificus
Vibrio vulnificus,species,672,Vibrio vulnificus
cellular organisms,no rank,131567,Devosia sp. I507
Bacteria,superkingdom,2,Devosia sp. I507
Proteobacteria,phylum,1224,Devosia sp. I507
Alphaproteobacteria,class,28211,Devosia sp. I507
Hyphomicrobiales,order,356,Devosia sp. I507
Devosiaceae,family,2831106,Devosia sp. I507
Devosia,genus,46913,Devosia sp. I507
unclassified Devosia,no rank,196773,Devosia sp. I507
Devosia sp. I507,species,2083786,Devosia sp. I507
cellular organisms,no rank,131567,Devosia sp. A16
Bacteria,superkingdom,2,Devosia sp. A16
Proteobacteria,phylum,1224,Devosia sp. A16
Alphaproteobacteria,class,28211,Devosia sp. A16
Hyphomicrobiales,order,356,Devosia sp. A16
Devosiaceae,family,2831106,Devosia sp. A16
Devosia,genus,46913,Devosia sp. A16
unclassified Devosia,no rank,196773,Devosia sp. A16
Devosia sp. A16,species,1736675,Devosia sp. A16
cellular organisms,no rank,131567,Hyphomicrobium nitrativorans
Bacteria,superkingdom,2,Hyphomicrobium nitrativorans
Proteobacteria,phylum,1224,Hyphomicrobium nitrativorans
Alphaproteobacteria,class,28211,Hyphomicrobium nitrativorans
Hyphomicrobiales,order,356,Hyphomicrobium nitrativorans
Hyphomicrobiaceae,family,45401,Hyphomicrobium nitrativorans
Hyphomicrobium,genus,81,Hyphomicrobium nitrativorans
Hyphomicrobium nitrativorans,species,1427356,Hyphomicrobium nitrativorans
cellular organisms,no rank,131567,Rhodoplanes sp. Z2-YC6860
Bacteria,superkingdom,2,Rhodoplanes sp. Z2-YC6860
Proteobacteria,phylum,1224,Rhodoplanes sp. Z2-YC6860
Alphaproteobacteria,class,28211,Rhodoplanes sp. Z2-YC6860
Hyphomicrobiales,order,356,Rhodoplanes sp. Z2-YC6860
Hyphomicrobiaceae,family,45401,Rhodoplanes sp. Z2-YC6860
Rhodoplanes,genus,29407,Rhodoplanes sp. Z2-YC6860
unclassified Rhodoplanes,no rank,2619116,Rhodoplanes sp. Z2-YC6860
Rhodoplanes sp. Z2-YC6860,species,674703,Rhodoplanes sp. Z2-YC6860
cellular organisms,no rank,131567,Rhodomicrobium vannielii
Bacteria,superkingdom,2,Rhodomicrobium vannielii
Proteobacteria,phylum,1224,Rhodomicrobium vannielii
Alphaproteobacteria,class,28211,Rhodomicrobium vannielii
Hyphomicrobiales,order,356,Rhodomicrobium vannielii
Hyphomicrobiaceae,family,45401,Rhodomicrobium vannielii
Rhodomicrobium,genus,1068,Rhodomicrobium vannielii
Rhodomicrobium vannielii,species,1069,Rhodomicrobium vannielii
cellular organisms,no rank,131567,Bradyrhizobium sp. SK17
Bacteria,superkingdom,2,Bradyrhizobium sp. SK17
Proteobacteria,phylum,1224,Bradyrhizobium sp. SK17
Alphaproteobacteria,class,28211,Bradyrhizobium sp. SK17
Hyphomicrobiales,order,356,Bradyrhizobium sp. SK17
Nitrobacteraceae,family,41294,Bradyrhizobium sp. SK17
Bradyrhizobium,genus,374,Bradyrhizobium sp. SK17
unclassified Bradyrhizobium,no rank,2631580,Bradyrhizobium sp. SK17
Bradyrhizobium sp. SK17,species,2057741,Bradyrhizobium sp. SK17
cellular organisms,no rank,131567,Bosea sp. AS-1
Bacteria,superkingdom,2,Bosea sp. AS-1
Proteobacteria,phylum,1224,Bosea sp. AS-1
Alphaproteobacteria,class,28211,Bosea sp. AS-1
Hyphomicrobiales,order,356,Bosea sp. AS-1
Boseaceae,family,2831100,Bosea sp. AS-1
Bosea,genus,85413,Bosea sp. AS-1
unclassified Bosea,no rank,2653178,Bosea sp. AS-1
Bosea sp. AS-1,species,2015316,Bosea sp. AS-1
cellular organisms,no rank,131567,Rhodopseudomonas palustris
Bacteria,superkingdom,2,Rhodopseudomonas palustris
Proteobacteria,phylum,1224,Rhodopseudomonas palustris
Alphaproteobacteria,class,28211,Rhodopseudomonas palustris
Hyphomicrobiales,order,356,Rhodopseudomonas palustris
Nitrobacteraceae,family,41294,Rhodopseudomonas palustris
Rhodopseudomonas,genus,1073,Rhodopseudomonas palustris
Rhodopseudomonas palustris,species,1076,Rhodopseudomonas palustris
cellular organisms,no rank,131567,Variibacter gotjawalensis
Bacteria,superkingdom,2,Variibacter gotjawalensis
Proteobacteria,phylum,1224,Variibacter gotjawalensis
Alphaproteobacteria,class,28211,Variibacter gotjawalensis
Hyphomicrobiales,order,356,Variibacter gotjawalensis
Nitrobacteraceae,family,41294,Variibacter gotjawalensis
Variibacter,genus,1649510,Variibacter gotjawalensis
Variibacter gotjawalensis,species,1333996,Variibacter gotjawalensis
