case,genus,fraction_total_reads,group,sex
28.unmapped,Brucella,0.000496689,malt,fem
24.unmapped,Brucella,0.000127598,control,fem
17.unmapped,Brucella,0.000240637,control,male
20.unmapped,Brucella,0.000486413,control,male
18.unmapped,Brucella,0.000912024,control,male
22.unmapped,Brucella,0.000518955,malt,male
19.unmapped,Brucella,0.000316854,control,male
29.unmapped,Brucella,0.000651691,malt,fem
18.unmapped,Brucella,9.59E-05,control,male
17.unmapped,Brucella,5.05E-05,control,male
28.unmapped,Brucella,4.97E-05,malt,fem
19.unmapped,Brucella,0.000369092,control,male
24.unmapped,Brucella,0.000186687,control,fem
20.unmapped,Brucella,0.000639702,control,male
27.unmapped,Brucella,0.001275121,malt,fem
23.unmapped,Brucella,0.000822963,malt,male
29.unmapped,Brucella,0.000171272,malt,fem
21.unmapped,Brucella,0.000298014,malt,male
18.unmapped,Brucella,0.000249201,control,male
28.unmapped,Brucella,0.000565198,malt,fem
25.unmapped,Brucella,0.000171272,control,fem
17.unmapped,Brucella,0.000253483,control,male
22.unmapped,Brucella,0.000442739,malt,male
29.unmapped,Burkholderia,0.000100194,malt,fem
24.unmapped,Burkholderia,7.88E-05,control,fem
21.unmapped,Burkholderia,8.91E-05,malt,male
26.unmapped,Burkholderia,9.42E-05,control,fem
27.unmapped,Burkholderia,4.28E-05,malt,fem
19.unmapped,Burkholderia,5.65E-05,control,male
22.unmapped,Burkholderia,9.16E-05,malt,male
20.unmapped,Burkholderia,4.45E-05,control,male
17.unmapped,Burkholderia,9.08E-05,control,male
25.unmapped,Burkholderia,0.00013188,control,fem
18.unmapped,Burkholderia,0.000116465,control,male
28.unmapped,Burkholderia,6.68E-05,malt,fem
26.unmapped,Burkholderia,7.54E-05,control,fem
27.unmapped,Burkholderia,6.25E-05,malt,fem
24.unmapped,Burkholderia,4.71E-05,control,fem
29.unmapped,Burkholderia,0.000182405,malt,fem
26.unmapped,Burkholderia,4.11E-05,control,fem
20.unmapped,Burkholderia,6.25E-05,control,male
22.unmapped,Burkholderia,8.31E-05,malt,male
18.unmapped,Burkholderia,6.17E-05,control,male
25.unmapped,Burkholderia,4.37E-05,control,fem
17.unmapped,Burkholderia,0.010469012,control,male
18.unmapped,Burkholderia,0.015355407,control,male
29.unmapped,Burkholderia,0.011418716,malt,fem
21.unmapped,Burkholderia,0.010308016,malt,male
22.unmapped,Burkholderia,0.010593184,malt,male
19.unmapped,Burkholderia,0.017337026,control,male
26.unmapped,Burkholderia,0.013812245,control,fem
25.unmapped,Burkholderia,0.018618998,control,fem
28.unmapped,Burkholderia,0.014150507,malt,fem
27.unmapped,Burkholderia,0.009402842,malt,fem
24.unmapped,Burkholderia,0.012079827,control,fem
23.unmapped,Burkholderia,0.006778953,malt,male
20.unmapped,Burkholderia,0.013854206,control,male
23.unmapped,Burkholderia,4.80E-05,malt,male
26.unmapped,Burkholderia,0.001389017,control,fem
22.unmapped,Burkholderia,0.00098824,malt,male
28.unmapped,Burkholderia,0.000791277,malt,fem
18.unmapped,Burkholderia,0.001220314,control,male
29.unmapped,Burkholderia,0.001866867,malt,fem
21.unmapped,Burkholderia,0.001107275,malt,male
20.unmapped,Burkholderia,0.002503999,control,male
17.unmapped,Burkholderia,0.001506339,control,male
25.unmapped,Burkholderia,0.001436974,control,fem
19.unmapped,Burkholderia,0.000329699,control,male
24.unmapped,Burkholderia,0.000441882,control,fem
27.unmapped,Burkholderia,0.000167847,malt,fem
28.unmapped,Campylobacter,6.94E-05,malt,fem
28.unmapped,Campylobacter,5.31E-05,malt,fem
19.unmapped,Campylobacter,0.000101051,control,male
28.unmapped,Campylobacter,0.000507822,malt,fem
22.unmapped,Campylobacter,4.11E-05,malt,male
24.unmapped,Campylobacter,7.28E-05,control,fem
28.unmapped,Candidatus Accumulibacter,7.54E-05,malt,fem
17.unmapped,Candidatus Accumulibacter,8.56E-05,control,male
25.unmapped,Candidatus Accumulibacter,5.05E-05,control,fem
22.unmapped,Candidatus Accumulibacter,7.71E-05,malt,male
19.unmapped,Candidatus Accumulibacter,5.05E-05,control,male
18.unmapped,Candidatus Accumulibacter,7.28E-05,control,male
29.unmapped,Candidatus Accumulibacter,8.31E-05,malt,fem
26.unmapped,Candidatus Atelocyanobacterium,4.71E-05,control,fem
26.unmapped,Liberibacter,4.97E-05,control,fem
24.unmapped,Liberibacter,4.11E-05,control,fem
28.unmapped,Candidatus Methylopumilus,4.11E-05,malt,fem
21.unmapped,Candidatus Methylopumilus,8.22E-05,malt,male
18.unmapped,Candidatus Methylopumilus,4.62E-05,control,male
26.unmapped,Candidatus Methylopumilus,5.74E-05,control,fem
24.unmapped,Candidatus Methylopumilus,4.28E-05,control,fem
21.unmapped,Candidatus Phytoplasma,6.25E-05,malt,male
28.unmapped,Candidatus Phytoplasma,6.94E-05,malt,fem
24.unmapped,Candidatus Phytoplasma,4.71E-05,control,fem
29.unmapped,Candidatus Phytoplasma,4.28E-05,malt,fem
21.unmapped,Candidatus Planktophila,4.88E-05,malt,male
26.unmapped,Candidatus Protochlamydia,5.57E-05,control,fem
19.unmapped,Candidatus Protochlamydia,5.57E-05,control,male
21.unmapped,Rhodoluna,0.000120747,malt,male
20.unmapped,Rhodoluna,0.000168703,control,male
25.unmapped,Rhodoluna,0.000153289,control,fem
26.unmapped,Rhodoluna,0.00016699,control,fem
24.unmapped,Rhodoluna,0.000135305,control,fem
17.unmapped,Candidatus Nanosynbacter,4.62E-05,control,male
28.unmapped,Candidatus Nanosynbacter,4.28E-05,malt,fem
29.unmapped,Candidatus Nanosynbacter,5.05E-05,malt,fem
29.unmapped,Candidatus Solibacter,0.000341688,malt,fem
21.unmapped,Candidatus Solibacter,6.77E-05,malt,male
20.unmapped,Candidatus Solibacter,7.54E-05,control,male
26.unmapped,Candidatus Solibacter,7.79E-05,control,fem
23.unmapped,Candidatus Solibacter,7.62E-05,malt,male
22.unmapped,Candidatus Solibacter,0.000359672,malt,male
18.unmapped,Candidatus Solibacter,0.000310859,control,male
24.unmapped,Candidatus Solibacter,7.96E-05,control,fem
28.unmapped,Candidatus Solibacter,0.00034597,malt,fem
17.unmapped,Candidatus Solibacter,0.000376799,control,male
25.unmapped,Candidatus Solibacter,9.68E-05,control,fem
27.unmapped,Candidatus Solibacter,0.000142156,malt,fem
19.unmapped,Candidatus Solibacter,0.000286025,control,male
25.unmapped,Candidatus Sulcia,6.51E-05,control,fem
29.unmapped,Candidatus Sulcia,6.85E-05,malt,fem
17.unmapped,Candidatus Sulcia,5.65E-05,control,male
22.unmapped,Candidatus Sulcia,6.68E-05,malt,male
27.unmapped,Candidatus Sulcia,4.37E-05,malt,fem
24.unmapped,Candidatus Sulcia,4.37E-05,control,fem
19.unmapped,Candidatus Sulcia,7.88E-05,control,male
20.unmapped,Candidatus Sulcia,5.05E-05,control,male
28.unmapped,Candidatus Sulcia,7.36E-05,malt,fem
26.unmapped,Candidatus Sulcia,4.62E-05,control,fem
21.unmapped,Candidatus Sulcia,4.54E-05,malt,male
18.unmapped,Candidatus Sulcia,8.05E-05,control,male
20.unmapped,Candidatus Xiphinematobacter,8.14E-05,control,male
24.unmapped,Candidatus Xiphinematobacter,7.19E-05,control,fem
21.unmapped,Candidatus Xiphinematobacter,5.14E-05,malt,male
27.unmapped,Candidatus Xiphinematobacter,4.28E-05,malt,fem
22.unmapped,Candidatus Xiphinematobacter,0.000119034,malt,male
25.unmapped,Candidatus Xiphinematobacter,7.71E-05,control,fem
18.unmapped,Candidatus Xiphinematobacter,9.16E-05,control,male
28.unmapped,Candidatus Xiphinematobacter,0.000109614,malt,fem
29.unmapped,Candidatus Xiphinematobacter,0.000125029,malt,fem
19.unmapped,Candidatus Xiphinematobacter,0.00010362,control,male
26.unmapped,Candidatus Xiphinematobacter,6.25E-05,control,fem
17.unmapped,Candidatus Xiphinematobacter,9.08E-05,control,male
27.unmapped,Capnocytophaga,6.85E-05,malt,fem
26.unmapped,Capnocytophaga,6.77E-05,control,fem
19.unmapped,Castellaniella,5.22E-05,control,male
29.unmapped,Caulobacter,4.11E-05,malt,fem
23.unmapped,Caulobacter,8.14E-05,malt,male
22.unmapped,Caulobacter,4.71E-05,malt,male
28.unmapped,Caulobacter,4.11E-05,malt,fem
18.unmapped,Caulobacter,0.000126741,control,male
29.unmapped,Caulobacter,4.97E-05,malt,fem
23.unmapped,Caulobacter,7.36E-05,malt,male
22.unmapped,Caulobacter,5.40E-05,malt,male
23.unmapped,Candidatus Viadribacter,7.28E-05,malt,male
26.unmapped,Celeribacter,7.88E-05,control,fem
19.unmapped,Celeribacter,5.65E-05,control,male
27.unmapped,Celeribacter,8.48E-05,malt,fem
24.unmapped,Celeribacter,4.80E-05,control,fem
27.unmapped,Cellulomonas,5.14E-05,malt,fem
27.unmapped,Cellvibrio,6.08E-05,malt,fem
24.unmapped,Cellvibrio,8.91E-05,control,fem
25.unmapped,Cellvibrio,7.36E-05,control,fem
21.unmapped,Cellvibrio,8.31E-05,malt,male
17.unmapped,Cellvibrio,8.56E-05,control,male
20.unmapped,Cellvibrio,7.36E-05,control,male
28.unmapped,Cellvibrio,6.59E-05,malt,fem
19.unmapped,Cellvibrio,7.71E-05,control,male
29.unmapped,Cellvibrio,7.45E-05,malt,fem
18.unmapped,Cellvibrio,5.74E-05,control,male
22.unmapped,Cellvibrio,6.94E-05,malt,male
26.unmapped,Cellvibrio,9.85E-05,control,fem
23.unmapped,Chamaesiphon,0.000182405,malt,male
22.unmapped,Chamaesiphon,0.000284312,malt,male
24.unmapped,Chamaesiphon,0.000829814,control,fem
18.unmapped,Chamaesiphon,0.000360528,control,male
21.unmapped,Chamaesiphon,0.000500115,malt,male
29.unmapped,Chamaesiphon,0.000307434,malt,fem
28.unmapped,Chamaesiphon,0.000441882,malt,fem
17.unmapped,Chamaesiphon,0.000304864,control,male
27.unmapped,Chamaesiphon,0.000162709,malt,fem
19.unmapped,Chamaesiphon,0.000277461,control,male
26.unmapped,Chamaesiphon,0.000483844,control,fem
20.unmapped,Chamaesiphon,0.0004376,control,male
25.unmapped,Chamaesiphon,0.000605447,control,fem
28.unmapped,Chitinophaga,8.48E-05,malt,fem
22.unmapped,Chitinophaga,9.25E-05,malt,male
18.unmapped,Chitinophaga,7.88E-05,control,male
29.unmapped,Chitinophaga,8.48E-05,malt,fem
20.unmapped,Chitinophaga,5.74E-05,control,male
19.unmapped,Chitinophaga,7.19E-05,control,male
17.unmapped,Chitinophaga,8.14E-05,control,male
29.unmapped,Chitinophaga,0.00011304,malt,fem
28.unmapped,Chitinophaga,0.000131023,malt,fem
19.unmapped,Chitinophaga,9.68E-05,control,male
26.unmapped,Chitinophaga,5.48E-05,control,fem
24.unmapped,Chitinophaga,6.17E-05,control,fem
17.unmapped,Chitinophaga,0.000108758,control,male
22.unmapped,Chitinophaga,0.00015757,malt,male
18.unmapped,Chitinophaga,9.59E-05,control,male
27.unmapped,Chitinophaga,5.91E-05,malt,fem
29.unmapped,Chondrocystis,8.82E-05,malt,fem
19.unmapped,Chondrocystis,0.000115609,control,male
26.unmapped,Chondrocystis,0.000853792,control,fem
17.unmapped,Chondrocystis,8.14E-05,control,male
25.unmapped,Chondrocystis,0.00039307,control,fem
28.unmapped,Chondrocystis,0.000123316,malt,fem
27.unmapped,Chondrocystis,6.17E-05,malt,fem
18.unmapped,Chondrocystis,7.71E-05,control,male
22.unmapped,Chondrocystis,4.45E-05,malt,male
24.unmapped,Chondrocystis,0.00017641,control,fem
20.unmapped,Chondrocystis,0.000256052,control,male
21.unmapped,Chondrocystis,0.000321135,malt,male
23.unmapped,Chondromyces,0.000132736,malt,male
29.unmapped,Chondromyces,0.000294588,malt,fem
17.unmapped,Chondromyces,0.000338263,control,male
27.unmapped,Chondromyces,0.000218372,malt,fem
20.unmapped,Chondromyces,0.000119891,control,male
22.unmapped,Chondromyces,0.00038365,malt,male
18.unmapped,Chondromyces,0.000307434,control,male
28.unmapped,Chondromyces,0.000367379,malt,fem
26.unmapped,Chondromyces,9.33E-05,control,fem
25.unmapped,Chondromyces,0.000112183,control,fem
21.unmapped,Chondromyces,0.000110471,malt,male
24.unmapped,Chondromyces,0.000112183,control,fem
19.unmapped,Chondromyces,0.000290306,control,male
20.unmapped,Chroococcidiopsis,5.74E-05,control,male
24.unmapped,Chroococcidiopsis,0.000120747,control,fem
26.unmapped,Chroococcidiopsis,6.94E-05,control,fem
21.unmapped,Chroococcidiopsis,8.14E-05,malt,male
29.unmapped,Chryseobacterium,4.20E-05,malt,fem
20.unmapped,Chryseobacterium,5.57E-05,control,male
25.unmapped,Chryseobacterium,0.000100194,control,fem
19.unmapped,Chryseobacterium,6.59E-05,control,male
22.unmapped,Chryseobacterium,7.88E-05,malt,male
26.unmapped,Chryseobacterium,0.000143869,control,fem
23.unmapped,Chryseobacterium,9.76E-05,malt,male
21.unmapped,Chryseobacterium,4.45E-05,malt,male
28.unmapped,Chryseobacterium,5.57E-05,malt,fem
22.unmapped,Chryseolinea,0.00013873,malt,male
19.unmapped,Chryseolinea,7.54E-05,control,male
29.unmapped,Chryseolinea,9.93E-05,malt,fem
27.unmapped,Chryseolinea,5.14E-05,malt,fem
28.unmapped,Chryseolinea,9.59E-05,malt,fem
18.unmapped,Chryseolinea,8.99E-05,control,male
17.unmapped,Chryseolinea,8.48E-05,control,male
29.unmapped,Clostridioides,0.000615723,malt,fem
26.unmapped,Clostridioides,0.000781001,control,fem
22.unmapped,Clostridioides,0.000624287,malt,male
25.unmapped,Clostridioides,0.000271466,control,fem
18.unmapped,Clostridioides,0.000435888,control,male
21.unmapped,Clostridioides,0.000335693,malt,male
20.unmapped,Clostridioides,0.000375942,control,male
27.unmapped,Clostridioides,0.000543789,malt,fem
19.unmapped,Clostridioides,0.000248345,control,male
17.unmapped,Clostridioides,0.000454728,control,male
28.unmapped,Clostridioides,0.000527518,malt,fem
24.unmapped,Clostridioides,0.000359672,control,fem
18.unmapped,Clostridium,0.000132736,control,male
19.unmapped,Clostridium,0.00022351,control,male
21.unmapped,Clostridium,0.000286881,malt,male
28.unmapped,Clostridium,0.00015757,malt,fem
25.unmapped,Clostridium,0.000147294,control,fem
17.unmapped,Clostridium,0.000109614,control,male
20.unmapped,Clostridium,0.000191825,control,male
22.unmapped,Clostridium,0.000145581,malt,male
24.unmapped,Clostridium,0.000304864,control,fem
23.unmapped,Clostridium,0.000107045,malt,male
27.unmapped,Clostridium,0.000539507,malt,fem
29.unmapped,Clostridium,0.000135305,malt,fem
26.unmapped,Clostridium,0.00069194,control,fem
19.unmapped,Clostridium,4.11E-05,control,male
17.unmapped,Clostridium,4.20E-05,control,male
27.unmapped,Clostridium,6.08E-05,malt,fem
28.unmapped,Clostridium,6.08E-05,malt,fem
17.unmapped,Clostridium,0.000264616,control,male
29.unmapped,Clostridium,0.000100194,malt,fem
20.unmapped,Clostridium,0.000154145,control,male
25.unmapped,Clostridium,0.000190968,control,fem
18.unmapped,Clostridium,0.000137018,control,male
22.unmapped,Clostridium,0.000199532,malt,male
19.unmapped,Clostridium,0.00013188,control,male
24.unmapped,Clostridium,7.96E-05,control,fem
29.unmapped,Clostridium,4.11E-05,malt,fem
21.unmapped,Clostridium,4.71E-05,malt,male
28.unmapped,Clostridium,6.08E-05,malt,fem
28.unmapped,Cnuibacter,5.91E-05,malt,fem
29.unmapped,Cnuibacter,0.000107045,malt,fem
18.unmapped,Cnuibacter,6.85E-05,control,male
17.unmapped,Cnuibacter,9.33E-05,control,male
26.unmapped,Collimonas,0.000225223,control,fem
25.unmapped,Collimonas,0.000212377,control,fem
21.unmapped,Collimonas,0.000301439,malt,male
20.unmapped,Collimonas,0.003682352,control,male
24.unmapped,Collimonas,0.000203814,control,fem
26.unmapped,Collimonas,5.91E-05,control,fem
17.unmapped,Collimonas,4.45E-05,control,male
24.unmapped,Collimonas,4.62E-05,control,fem
27.unmapped,Collimonas,7.71E-05,malt,fem
19.unmapped,Collimonas,5.65E-05,control,male
21.unmapped,Collimonas,6.51E-05,malt,male
20.unmapped,Collimonas,0.000369948,control,male
25.unmapped,Collimonas,4.45E-05,control,fem
28.unmapped,Collimonas,6.59E-05,malt,fem
20.unmapped,Collimonas,0.000153289,control,male
26.unmapped,Collimonas,5.31E-05,control,fem
27.unmapped,Collinsella,7.02E-05,malt,fem
19.unmapped,Serpentinimonas,4.45E-05,control,male
26.unmapped,Serpentinimonas,8.05E-05,control,fem
24.unmapped,Serpentinimonas,4.37E-05,control,fem
25.unmapped,Serpentinimonas,6.25E-05,control,fem
21.unmapped,Serpentinimonas,4.37E-05,malt,male
20.unmapped,Serpentinimonas,5.05E-05,control,male
19.unmapped,Comamonas,7.45E-05,control,male
24.unmapped,Comamonas,0.000116465,control,fem
21.unmapped,Comamonas,8.14E-05,malt,male
28.unmapped,Comamonas,4.11E-05,malt,fem
26.unmapped,Comamonas,7.54E-05,control,fem
21.unmapped,Comamonas,4.28E-05,malt,male
18.unmapped,Comamonas,7.45E-05,control,male
26.unmapped,Comamonas,7.45E-05,control,fem
25.unmapped,Comamonas,5.91E-05,control,fem
20.unmapped,Comamonas,6.51E-05,control,male
21.unmapped,Comamonas,7.62E-05,malt,male
29.unmapped,Comamonas,4.54E-05,malt,fem
24.unmapped,Comamonas,8.31E-05,control,fem
19.unmapped,Comamonas,4.97E-05,control,male
18.unmapped,Comamonas,5.40E-05,control,male
22.unmapped,Comamonas,4.88E-05,malt,male
17.unmapped,Comamonas,4.62E-05,control,male
22.unmapped,Conexibacter,0.000117321,malt,male
19.unmapped,Conexibacter,9.16E-05,control,male
18.unmapped,Conexibacter,9.85E-05,control,male
29.unmapped,Conexibacter,0.000108758,malt,fem
27.unmapped,Conexibacter,9.42E-05,malt,fem
28.unmapped,Conexibacter,0.000146438,malt,fem
20.unmapped,Conexibacter,5.91E-05,control,male
17.unmapped,Conexibacter,0.000121603,control,male
24.unmapped,Corallococcus,7.88E-05,control,fem
26.unmapped,Corynebacterium,0.003479394,control,fem
18.unmapped,Corynebacterium,0.000650834,control,male
28.unmapped,Corynebacterium,0.000632851,malt,fem
25.unmapped,Corynebacterium,0.000535226,control,fem
21.unmapped,Corynebacterium,0.000564342,malt,male
17.unmapped,Corynebacterium,0.000799841,control,male
27.unmapped,Corynebacterium,0.000791277,malt,fem
20.unmapped,Corynebacterium,0.001378741,control,male
29.unmapped,Corynebacterium,0.000173841,malt,fem
22.unmapped,Corynebacterium,0.000233787,malt,male
19.unmapped,Corynebacterium,0.000408484,control,male
24.unmapped,Corynebacterium,0.002319882,control,fem
19.unmapped,Corynebacterium,4.45E-05,control,male
28.unmapped,Corynebacterium,5.31E-05,malt,fem
27.unmapped,Corynebacterium,6.17E-05,malt,fem
29.unmapped,Corynebacterium,7.19E-05,malt,fem
17.unmapped,Corynebacterium,9.68E-05,control,male
24.unmapped,Corynebacterium,8.91E-05,control,fem
21.unmapped,Corynebacterium,0.000162709,malt,male
20.unmapped,Corynebacterium,0.000167847,control,male
18.unmapped,Corynebacterium,9.59E-05,control,male
27.unmapped,Corynebacterium,4.97E-05,malt,fem
27.unmapped,Corynebacterium,4.97E-05,malt,fem
27.unmapped,Corynebacterium,8.31E-05,malt,fem
27.unmapped,Corynebacterium,6.77E-05,malt,fem
27.unmapped,Corynebacterium,5.74E-05,malt,fem
27.unmapped,Corynebacterium,6.59E-05,malt,fem
20.unmapped,Crinalium,4.71E-05,control,male
26.unmapped,Crinalium,5.91E-05,control,fem
24.unmapped,Crinalium,7.28E-05,control,fem
28.unmapped,Crinalium,0.000111327,malt,fem
29.unmapped,Crinalium,4.11E-05,malt,fem
21.unmapped,Crinalium,0.000146438,malt,male
21.unmapped,Croceicoccus,4.62E-05,malt,male
29.unmapped,Croceicoccus,8.99E-05,malt,fem
28.unmapped,Croceicoccus,6.85E-05,malt,fem
27.unmapped,Cupriavidus,0.000125885,malt,fem
24.unmapped,Cupriavidus,8.39E-05,control,fem
22.unmapped,Cupriavidus,0.000147294,malt,male
23.unmapped,Cupriavidus,0.000827245,malt,male
21.unmapped,Cupriavidus,5.57E-05,malt,male
19.unmapped,Cupriavidus,0.000154145,control,male
26.unmapped,Cupriavidus,0.000145581,control,fem
17.unmapped,Cupriavidus,5.65E-05,control,male
18.unmapped,Cupriavidus,4.20E-05,control,male
25.unmapped,Cupriavidus,0.000267185,control,fem
29.unmapped,Cupriavidus,0.000110471,malt,fem
28.unmapped,Cupriavidus,7.45E-05,malt,fem
20.unmapped,Cupriavidus,0.000178979,control,male
23.unmapped,Cupriavidus,4.28E-05,malt,male
27.unmapped,Curtobacterium,6.25E-05,malt,fem
27.unmapped,Curtobacterium,4.71E-05,malt,fem
27.unmapped,Curvibacter,5.22E-05,malt,fem
26.unmapped,Curvibacter,0.000163565,control,fem
24.unmapped,Curvibacter,0.000114752,control,fem
21.unmapped,Curvibacter,0.000107045,malt,male
19.unmapped,Curvibacter,7.71E-05,control,male
20.unmapped,Curvibacter,0.00011304,control,male
17.unmapped,Curvibacter,0.000116465,control,male
18.unmapped,Curvibacter,8.14E-05,control,male
23.unmapped,Curvibacter,4.71E-05,malt,male
22.unmapped,Curvibacter,8.31E-05,malt,male
25.unmapped,Curvibacter,0.000688514,control,fem
28.unmapped,Curvibacter,0.000127598,malt,fem
29.unmapped,Curvibacter,8.65E-05,malt,fem
17.unmapped,Cutibacterium,0.000262046,control,male
23.unmapped,Cutibacterium,0.000100194,malt,male
27.unmapped,Cutibacterium,0.000416191,malt,fem
28.unmapped,Cutibacterium,0.000222654,malt,fem
29.unmapped,Cutibacterium,0.00012246,malt,fem
26.unmapped,Cutibacterium,0.001111556,control,fem
21.unmapped,Cutibacterium,0.002326733,malt,male
20.unmapped,Cutibacterium,0.000567767,control,male
22.unmapped,Cutibacterium,0.000255196,malt,male
25.unmapped,Cutibacterium,0.000325417,control,fem
19.unmapped,Cutibacterium,0.000283455,control,male
24.unmapped,Cutibacterium,0.001385592,control,fem
18.unmapped,Cutibacterium,0.000178123,control,male
21.unmapped,Cutibacterium,4.88E-05,malt,male
20.unmapped,Cyanobium,0.000143012,control,male
26.unmapped,Cyanobium,0.000292019,control,fem
24.unmapped,Cyanobium,0.000324561,control,fem
25.unmapped,Cyanobium,0.000406771,control,fem
21.unmapped,Cyanobium,0.000244063,malt,male
21.unmapped,Cyanobium,0.000145581,malt,male
20.unmapped,Cyanobium,0.000144725,control,male
24.unmapped,Cyanobium,0.000146438,control,fem
25.unmapped,Cyanobium,0.000227792,control,fem
26.unmapped,Cyanobium,0.000164421,control,fem
28.unmapped,Cytophaga,9.76E-05,malt,fem
18.unmapped,Cytophaga,0.000104476,control,male
27.unmapped,Cytophaga,5.14E-05,malt,fem
17.unmapped,Cytophaga,0.000104476,control,male
19.unmapped,Cytophaga,7.88E-05,control,male
29.unmapped,Cytophaga,0.000108758,malt,fem
22.unmapped,Cytophaga,0.000104476,malt,male
24.unmapped,Dactylococcopsis,6.68E-05,control,fem
17.unmapped,Dechloromonas,7.54E-05,control,male
18.unmapped,Dechloromonas,7.19E-05,control,male
28.unmapped,Dechloromonas,6.42E-05,malt,fem
27.unmapped,Dechloromonas,5.48E-05,malt,fem
19.unmapped,Dechloromonas,4.54E-05,control,male
29.unmapped,Dechloromonas,7.96E-05,malt,fem
22.unmapped,Dechloromonas,8.22E-05,malt,male
18.unmapped,Dechloromonas,0.000172985,control,male
22.unmapped,Dechloromonas,0.000125885,malt,male
27.unmapped,Dechloromonas,0.00010362,malt,fem
25.unmapped,Dechloromonas,6.59E-05,control,fem
24.unmapped,Dechloromonas,9.76E-05,control,fem
26.unmapped,Dechloromonas,8.56E-05,control,fem
28.unmapped,Dechloromonas,0.000167847,malt,fem
17.unmapped,Dechloromonas,0.000155001,control,male
29.unmapped,Dechloromonas,0.000144725,malt,fem
20.unmapped,Dechloromonas,9.25E-05,control,male
21.unmapped,Dechloromonas,6.59E-05,malt,male
19.unmapped,Dechloromonas,0.000123316,control,male
18.unmapped,Frigidibacter,0.000187543,control,male
17.unmapped,Frigidibacter,0.000194394,control,male
21.unmapped,Frigidibacter,0.000119034,malt,male
28.unmapped,Frigidibacter,0.000268897,malt,fem
26.unmapped,Frigidibacter,9.51E-05,control,fem
22.unmapped,Frigidibacter,0.00028945,malt,male
25.unmapped,Frigidibacter,0.000115609,control,fem
29.unmapped,Frigidibacter,0.000322848,malt,fem
19.unmapped,Frigidibacter,0.000193538,control,male
20.unmapped,Frigidibacter,7.79E-05,control,male
27.unmapped,Frigidibacter,8.31E-05,malt,fem
24.unmapped,Frigidibacter,0.000105332,control,fem
26.unmapped,Dehalogenimonas,4.28E-05,control,fem
27.unmapped,Deinococcus,4.37E-05,malt,fem
25.unmapped,Delftia,6.59E-05,control,fem
26.unmapped,Delftia,0.000137874,control,fem
23.unmapped,Delftia,0.000219228,malt,male
27.unmapped,Dermabacter,4.11E-05,malt,fem
20.unmapped,Dermacoccus,4.54E-05,control,male
27.unmapped,Desulfitobacterium,6.17E-05,malt,fem
19.unmapped,Desulfomicrobium,4.80E-05,control,male
22.unmapped,Desulfomicrobium,4.88E-05,malt,male
28.unmapped,Desulfomicrobium,5.22E-05,malt,fem
27.unmapped,Desulfosporosinus,6.77E-05,malt,fem
27.unmapped,Desulfosporosinus,5.31E-05,malt,fem
29.unmapped,Oleidesulfovibrio,8.31E-05,malt,fem
26.unmapped,Oleidesulfovibrio,5.74E-05,control,fem
21.unmapped,Oleidesulfovibrio,4.28E-05,malt,male
18.unmapped,Oleidesulfovibrio,9.93E-05,control,male
28.unmapped,Oleidesulfovibrio,0.000125029,malt,fem
17.unmapped,Oleidesulfovibrio,0.000106189,control,male
19.unmapped,Oleidesulfovibrio,7.71E-05,control,male
22.unmapped,Oleidesulfovibrio,0.000111327,malt,male
27.unmapped,Oleidesulfovibrio,5.57E-05,malt,fem
29.unmapped,Desulfovibrio,5.48E-05,malt,fem
26.unmapped,Desulfovibrio,4.88E-05,control,fem
18.unmapped,Desulfovibrio,5.82E-05,control,male
19.unmapped,Devosia,6.34E-05,control,male
17.unmapped,Devosia,0.000100194,control,male
29.unmapped,Devosia,7.79E-05,malt,fem
27.unmapped,Devosia,9.33E-05,malt,fem
22.unmapped,Devosia,5.91E-05,malt,male
20.unmapped,Devosia,4.88E-05,control,male
28.unmapped,Devosia,7.62E-05,malt,fem
18.unmapped,Devosia,6.68E-05,control,male
28.unmapped,Devosia,9.16E-05,malt,fem
18.unmapped,Devosia,6.42E-05,control,male
26.unmapped,Devosia,4.28E-05,control,fem
23.unmapped,Devosia,7.02E-05,malt,male
29.unmapped,Devosia,7.88E-05,malt,fem
24.unmapped,Devosia,4.28E-05,control,fem
20.unmapped,Devosia,0.000329699,control,male
19.unmapped,Devosia,6.25E-05,control,male
21.unmapped,Devosia,4.28E-05,malt,male
27.unmapped,Devosia,7.79E-05,malt,fem
17.unmapped,Devosia,8.82E-05,control,male
22.unmapped,Devosia,8.82E-05,malt,male
20.unmapped,Diaphorobacter,0.000982246,control,male
27.unmapped,Diaphorobacter,0.000348539,malt,fem
29.unmapped,Diaphorobacter,0.000266328,malt,fem
24.unmapped,Diaphorobacter,0.000241494,control,fem
25.unmapped,Diaphorobacter,0.000506966,control,fem
21.unmapped,Diaphorobacter,0.001145811,malt,male
19.unmapped,Diaphorobacter,0.000700503,control,male
26.unmapped,Diaphorobacter,0.000459866,control,fem
22.unmapped,Diaphorobacter,0.000206383,malt,male
28.unmapped,Diaphorobacter,0.000126741,malt,fem
21.unmapped,Dietzia,0.000110471,malt,male
22.unmapped,Dietzia,9.59E-05,malt,male
21.unmapped,Dietzia,0.000727907,malt,male
24.unmapped,Dietzia,6.85E-05,control,fem
20.unmapped,Dietzia,0.000106189,control,male
28.unmapped,Dietzia,6.85E-05,malt,fem
